id,position,label,description,start_date,end_date,term,constituency
Q2894271,Q52403277,,"",2009,2011,,
Q2894271,Q52413872,President of the National Action Party,Mexican party leader,2014-09-30,2015-01-20,,
Q449329,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q449329,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q4666566,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q4722024,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q4795351,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q4795351,Q5589648,Governor of Colima,chief executive of the Mexican state of Colima,"",,,
Q4801730,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q4801730,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q5399354,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5406856,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5445014,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5460225,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5658341,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5658341,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q5664630,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5665530,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5675721,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5680996,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5680996,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q5695097,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5703388,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5703388,Q19971999,member of the Senate of Mexico,member of the upper house of the legislature of Mexico,"",,,
Q5791520,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
Q5804242,Q18534310,Member of the Chamber of Deputies of Mexico,member of the lower house of the legislature of Mexico,"",,,
