id,name,start_date,end_date,wikidata
2015,Folketing 2015–,2015-06-20,,Q29093888
2011,Folketing 2011–2015,2011-09-15,2015-06-19,Q29093913
2007,Folketing 2007–2011,2007-11-13,2011-09-14,Q29094196
2005,Folketing 2005–2007,2005-02-08,2007-11-12,Q29094231
2001,Folketing 2001–2005,2001-11-20,2005-02-07,Q29094267
1998,Folketing 1998–2001,1998-11-03,2001-11-19,Q29094293
1994,Folketing 1994–1998,1994-09-21,1998-11-02,
1990,Folketing 1990–1994,1990-12-12,1994-09-20,
