id,name,position,start_date,end_date,type
7b0c93e5-94ab-4da0-954f-b2333b45848d,Nilda Celia Garre,Minister of Defense,2005-11-28,2010-12-15,cabinet
89fa6f06-dac0-4f7d-ab06-756b5d7f20a6,FEDERICO PINEDO,President of Argentina,2015-12-09,2015-12-10,cabinet
