id,name,position,start_date,end_date,type
ab835559-ef9c-4ead-bfa4-002ae60c42fa,Markus Meckel,Minister for Foreign Affairs (German Democratic Republic),1990-04-12,1990-08-20,cabinet
003ab85b-3c0d-4b97-845c-1415f78deb97,Kurt Biedenkopf,Minister-President,"",,cabinet
2a84294f-f903-4c43-9d46-d1bbd9427a0a,Peter Ramsauer,Minister of Transportation,2009-10-28,2013-12-17,cabinet
f01d566b-8cab-4b58-9222-f30b661ca1c2,Kai-Uwe von Hassel,Minister of Defence,"",,cabinet
4173a2ce-4772-4edc-b2c8-d5bf63db0e19,Peter Altmaier,Federal Minister for Special Affairs of Germany,2013-12-17,,cabinet
ef1bbdf3-db1b-46a5-a6a7-44321cd79571,Theodor Blank,Minister of Defence,"",,cabinet
aad7251a-53dc-482f-a3a3-c16f4de0c383,Hans-Peter Friedrich,Federal Minister of the Interior,2011-03-03,2013-12-17,cabinet
bb27557c-8c76-4d39-a745-d367ce6c7a3d,Kurt Bodewig,Minister of Transportation,"",,cabinet
598a15c3-995b-435b-96e2-87d22cbc58fa,Hans-Christoph Seebohm,Vice-Chancellor of Germany,"",,cabinet
d09c8f37-9b76-4a56-b6a6-f7645c1b5e15,Kurt Gscheidle,Minister of Transportation,"",,cabinet
ca62ffdc-cf62-4252-9df9-bcfb27f4a732,Frank-Walter Steinmeier,Vice-Chancellor of Germany,2007-11-21,2009-10-28,cabinet
ca62ffdc-cf62-4252-9df9-bcfb27f4a732,Frank-Walter Steinmeier,Minister for Foreign Affairs (Federal Republic of Germany),2005-11-22,2009-10-28,cabinet
ca62ffdc-cf62-4252-9df9-bcfb27f4a732,Frank-Walter Steinmeier,Minister for Foreign Affairs (Federal Republic of Germany),2013-12-17,2017-01-27,cabinet
1d8c536b-3a65-49c2-b1bc-e5a7ceb907ad,Volker Rühe,Minister of Defence,1992-04-01,1998-10-26,cabinet
3244bd46-2f52-47fb-a7aa-2877dd42a64c,Günther Krause,Federal Minister for Special Affairs of Germany,1990-10-03,1991,cabinet
cf52e70d-f00b-46d9-a217-f347b50fdb8b,Angelica Schwall-Düren,"Minister of Federal Affairs, Europe and Media of North Rhine-Westphalia",2010-07-15,2015-10-01,cabinet
