uuid,female,male,other,skip,total
071fd9fc-3af1-43fc-b7f9-903a2be90478,0,1,0,0,1
0979df66-28cc-4ae3-a8e2-02004cc54ba7,0,1,0,0,1
0a78d452-5849-41f7-917f-eb71f42e9689,0,1,0,0,1
0bd9a98c-9eb3-42d9-b04f-a28e19c61bbc,0,1,0,0,1
3d81b472-d49e-4a6f-b10a-c4a8f0970003,0,0,1,0,1
479ab1d4-b4f3-4d34-bf8b-5f4c1d8da53b,0,1,0,0,1
4b7925a3-59eb-45b1-9ed1-ac1caedf6d6d,0,1,0,0,1
5ce665fc-b38e-4d8d-9496-10126aa247ba,0,1,0,0,1
62fe1cc0-66af-458d-abe0-cd0f9eddcd9a,0,1,0,0,1
6b270dbc-1254-4109-a4ae-494f08cfdc16,0,1,0,0,1
6c8cbe2d-2267-4796-a190-09a398f18415,0,1,0,0,1
80592ab2-7c43-4599-892d-ec50dcd30f87,0,1,0,0,1
8e37c545-8302-4dec-ac36-8cfdd7f9c78e,0,1,0,0,1
a5289fc1-138f-43bb-8b0e-2ef2894fd6c9,0,1,0,0,1
ad2cfcf4-3587-4c80-b5ce-44244146d5d2,0,1,0,0,1
af56478b-6ad9-40d8-924f-4e1ecb255f66,0,1,0,0,1
b0f630eb-1181-457b-938b-481d0ad64fb1,0,1,0,0,1
bfa4ea17-9df2-4045-8f38-80ff243a802c,0,1,0,0,1
c03946a4-73d0-49b4-8628-701c42de0c36,0,1,0,0,1
c6e9d11f-0c22-45e9-bcc4-5dbcefe98f15,0,1,0,0,1
d503d330-e8e3-434d-b1ff-b1abcb21f6bd,0,1,0,0,1
e6b4e384-7a60-4a38-93ff-e014e8f079c1,0,1,0,0,1
e847a105-9ddf-428d-a907-575d6413fbd9,0,1,0,0,1
fa63e7fc-e5e5-46a1-ba23-bfeab9e0fc99,0,1,0,0,1
