id,name,start_date,end_date
1,Landsting,1979-04-04,1983-04-11
10,Inatsisartut 10,2009-06-02,2013-03-11
11,Inatsisartut 11,2013-03-12,2014-11-27
12,Inatsisartut 12,2014-11-28,
2,Landsting,1983-04-12,1984-06-05
3,Landsting,1984-06-06,1987-05-25
4,Landsting,1987-05-26,1991-03-04
5,Landsting,1991-03-05,1995-03-03
6,Landsting,1995-03-04,1999-02-15
7,Landsting,1999-02-16,2002-12-02
8,Landsting,2002-12-03,2005-11-14
9,Landsting,2005-11-15,2009-06-01
