uuid,female,male,other,skip,total
a5a383ff-3c44-4c35-a81d-7ef632e3df85,0,9,0,0,9
a8362b65-bbde-49bd-91cc-193964a6ed36,0,8,0,0,8
ab161257-483a-4889-bf8a-d61303f314e7,0,8,0,0,8
ad4f9102-1c21-404d-9713-53e7fd395b26,0,8,0,0,8
afb31fd7-3c2a-42cc-98e9-027b2bac9be0,0,8,0,0,8
b004e67b-5cfa-4d8c-a6a1-f021a1007b91,0,9,0,0,9
b1d06474-4ba6-4d7c-8d3e-89fc485cb5c9,0,8,0,0,8
b1d28b94-41bd-4e80-998d-2610f60b4c27,0,8,0,0,8
b73e38bd-4e07-4b3a-ba98-e4c7a0312b3b,0,8,0,0,8
ba7a50b2-86b5-417a-bf41-4b1004dba2be,7,0,1,0,8
bcb53239-def8-487e-8f93-d62bf646b842,8,0,0,0,8
bd89e1d3-5d8d-4a33-a0a2-71762a60d9e7,0,8,0,0,8
bf00dba9-60cd-41c7-a2bd-2987781837e2,0,8,0,0,8
c10a5252-97e7-4fc7-b809-53bd71ecde85,0,8,0,0,8
c137abf5-29b4-4799-b71c-e7efdce659d5,0,8,0,0,8
c7270597-b00f-4d7d-8d19-02bddca1aba6,0,8,0,0,8
cb383fca-1269-4564-965c-8091e233d965,0,8,0,0,8
cc850a2e-b1d0-497b-8c84-be561aff8ff3,8,0,0,0,8
d0d0f67e-77bd-4b33-ba89-253263c44f80,0,8,0,0,8
d1d12998-8935-4cba-9ed3-cf30746f5b20,0,8,0,0,8
d28f0f4d-b4a5-439c-8451-cba30002bf51,0,8,0,0,8
d870d8cb-41e3-427e-b63f-4b6292095fc1,0,8,0,0,8
d8f63ad3-0f9c-49c0-932d-77a3910cadff,0,8,0,0,8
e3a3b93b-921e-4e94-b8af-85a759c88c17,0,8,0,0,8
e3cf2aa6-590f-41fd-8f17-79456fa2fae7,0,8,0,0,8
e4d2eaa5-7fa7-4f68-8e28-1af99987fca0,0,8,0,0,8
e7de593d-650a-4427-8b00-83d925cf2279,0,8,0,0,8
e814ec6e-9da8-44f1-a277-404b65420a27,0,8,0,0,8
f12f6ebc-03c4-4b9e-8c91-b83cdc54aba4,0,8,0,0,8
f23c2761-e262-4e32-93c2-6ec304c4b8fc,0,8,0,0,8
f26dd21e-3f70-494a-9507-d2b4e4120a2c,8,0,0,0,8
f4cf706a-ed11-47ff-bee6-5c9e972c5d7b,0,8,0,0,8
f5112455-6a24-46f1-b61a-60425b1d3570,8,1,0,0,9
fc87e93f-45d1-4dfc-b752-cff269b08969,0,8,0,0,8
fd90de6a-3a66-4ae7-849a-fea628d945a7,0,8,0,0,8
fda65a06-a131-477c-bf60-f00b5d95dca6,0,8,0,0,8
fdd37ddc-7105-42d4-8dd4-0e9f0887a689,0,8,0,0,8
ffd2fea6-61a1-4202-995f-02d15cee2484,0,7,1,1,9
