id,label,description,type
Q688230,President of the Swiss Confederation,presiding member of the seven-member Swiss Federal Council,cabinet
Q11811941,Member of the Swiss Federal Council,"",cabinet
Q25550811,Vice president of Switzerland,"",executive
Q18510612,Member of the Swiss National Council,"",self
Q2337229,President of the Swiss National Council,"",self
