id,position,label,description,start_date,term,constituency,election,end_date,replaces,replaced_by
Q14949590,Q7169248,Permanent Representative of Tanzania to the United Nations,"","",,,,,,
Q15047198,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q15101327,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q15651126,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q15665306,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mwanakwerekwe,"Tanzanian general election, 2015",,,
Q15665420,Q17599130,Member of the National Assembly of Tanzania,"",2017,11th Parliament of Tanzania,,,,,
Q16018441,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16019654,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16105431,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16105825,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16106024,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16107053,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16107505,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16121579,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16121934,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16122590,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q1612942,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Bumbuli,"Tanzanian general election, 2015",,,
Q16136464,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Nkasi North,"Tanzanian general election, 2015",,,
Q16145336,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16145341,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16145353,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16145382,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16145530,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16145576,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16145621,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16145843,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16145876,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Tumbe,"Tanzanian general election, 2015",,,
Q16146018,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Morogoro Urban,"Tanzanian general election, 2015",,,
Q16146048,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Bahi,"Tanzanian general election, 2015",,,
Q16146273,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kiwani,"Tanzanian general election, 2015",,,
Q16146299,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Wete,"Tanzanian general election, 2015",,,
Q16147163,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Nyang'hwale,"Tanzanian general election, 2015",,,
Q16147390,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16149145,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16149733,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16151862,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16151883,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16152051,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Ilala,"Tanzanian general election, 2015",,,
Q16185539,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16185612,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16186180,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16186325,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16186392,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16186778,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16186796,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16187151,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16187173,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16187237,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Korogwe Rural,"Tanzanian general election, 2015",,,
Q16187247,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16187295,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Makambako,"Tanzanian general election, 2015",,,
Q16187296,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16189312,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16189332,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Igunga,"Tanzanian general election, 2015",,,
Q16189334,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16189341,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16189390,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16192851,Q16915614,,"","",,,,,,
Q16192851,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Malinyi,"Tanzanian general election, 2015",,,
Q16192912,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16193009,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16193031,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Lulindi,"Tanzanian general election, 2015",,,
Q16193183,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16193194,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16193252,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16193265,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Amani,"Tanzanian general election, 2015",,,
Q16193684,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Misungwi,"Tanzanian general election, 2015",,,
Q16193730,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Tunduru North,"Tanzanian general election, 2015",,,
Q16193732,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kwela,"Tanzanian general election, 2015",,,
Q16193750,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Nkasi South,"Tanzanian general election, 2015",,,
Q16193885,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16193885,Q19057636,Vice President of Tanzania,"",2015-11-05,,,,,Mohamed Gharib Bilal,
Q16193978,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kilwa South,"Tanzanian general election, 2015",,,
Q16194119,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16194217,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16194239,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16194322,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Rombo,"Tanzanian general election, 2015",,,
