id,label,description,type
Q1195270,Prime Minister of Croatia,position,cabinet
Q16973527,Deputy Prime Minister of Croatia,,cabinet
Q18643511,representative in the Croatian Parliament,"",self
Q3357859,Speaker of the Croatian Parliament,Wikimedia list article,self
Q27169,member of the European Parliament,person who has been elected to the European Parliament,other_legislatures
