name,image,term,area,party
Patrick Foyah,http://www.parliament.gov.sl/dnn5/portals/0/Images/MPs/HON%20PATRICK%20FOYAH%20CONST%2001%20KAILAHUN%20DISTRICT.JPG,2-4,"Kailahun District, Eastern Region",SLPP
Patrick Lahai Kargbo,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20PATRICK%20LAHAI%20M.%20KARGBO%20CONST%20039%20KAMBIA.JPG,2-4,"Kambia District, Northern Region",APC
Radder Henneh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/Hon%20Radder%20Henneh%20Con41.JPG,2-4,"Kambia District, Northern Region",APC
Regina T. Marrah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20REGINA%20TIANGE.JPG,2-4,"Kailahun District, Eastern Region",APC
Rosaline J. Smith,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/ROSALINE%20J.%20SMITH%20CONST%20103%20APC.JPG,2-4,"Western Urban, Western Area",APC
Rosky Momokani Mbayo,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ROSKY%20MOMOKANI%20MBAYO%20CONST%2024%20KONO.JPG,2-4,"Kono District, Eastern Region",APC
Saah Sangbah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20SAAH%20SANGBAH%20CONST%20022%20KONO%20DISTRICT%20EASTREN%20REGION.JPG,2-4,"Kono District, Eastern Region",APC
Sahr Fatorma,http://www.parliament.gov.sl/dnn5/portals/0/Images/MPs/HON%20SAHR%20FATORMA%20CONST%20O4%20KAILAHUN%20DISTRICT%20ID%20O4.JPG,2-4,"Kailahun District, Eastern Region",SLPP
Sahr Tengbeh,http://www.parliament.gov.sl/dnn5/portals/0/Images/MPs/HON%20SAHR%20PATRICK%20TENGBEH%20CONST%203%20KAILLAHUN%20DISTRICT%20ID%203.JPG,2-4,"Kailahun District, Eastern Region",APC
Saidu Babah Kamara,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20SAIDU%20BABAH%20KAMARA%20CONST%20058%20PORT.JPG,2-4,"PortlokoDistrict, Northern Region",APC
Saidu Mansaray,http://www.parliament.gov.sl/dnn5/portals/0/Images/MPs/HON%20SAIDU%20MANSARAY%20CONST%2011%20KENEMA%20DISTRICT%20ID%2011.JPG,2-4,"Kenema District, EASTERN",SLPP
Salamy B. Nomalie,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20BOCKARIE%20NOMALIE.JPG,2-4,"Kenema District, Eastern Region",SLPP
Sallieu Osman Sesay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20SALLIEU%20OSMAN%20SESAY%20CONST%20029%20BAMBALI.JPG,2-4,"Bombali District, Northern Region",APC
Samuel H. Brima,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20SAMUEL%20.H.%20BRIMA%20%20CONST%2016.JPG,2-4,"Kenema District, Eastern Region",SLPP
Segepoh Solomon Thomas,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20SEGEPOH%20SOLOMON%20THOMAS%20CONST%2078%20BONTH%20DISTRICT%20ID%2078.JPG,2-4,"Bonthe District, Southern Region",SLPP
Sheku Sannoh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20SHEKU%20SANNOH%20CONST%20112%20WESTERN%20AREA%20URBAN%20%20ID%20112.JPG,2-4,"Western Urban, Western Area",APC
Songowa Bundu,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20SONGOWA%20BUNDU%20CONST%2061%20TONKOLILI%20DISTRICT%20ID%2061.JPG,2-4,"Tonkolili District, Northern Region",APC
Sualiho M. Koroma,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20SUALIHO%20MONYABA%20KOROMA%20CONST%20067%20BO%20DISRICT.JPG,2-4,"Bo District, Southern Region",SLPP
Sulaiman Muluku Sisay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20SULIAMAN%20MULUKU%20SISAY%20CONST%2033%20BOMBALI%20DISTRICT%20ID%2033.JPG,2-4,"Bombali District, Northern Region",APC
Tamba Entochema Ebba,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20TAMBA%20ENTOCHEMA%20EBBA%20CONST%2021.JPG,2-4,"Kono District, Eastern Region",APC
Tara-Taworo Koroma,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20TAWARO.JPG,2-4,"Tonkolili District, Northern Region",APC
Thomus Borbor Turay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20THOMAS%20BORBOR%20TURAY%20CONST%20035.JPG,2-4,"Bombali District, Northern Region",APC
Tunde Alpha B. Lewally,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/LEWALLY%20B.%20ALPHA%20CONST%20104%20APC.JPG,2-4,"Western Urban, Western Area",APC
Umar Paran Tarawally,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20UMAR%20PARAN%20TARAWALLY%20CONST%20069%20BO.JPG,2-4,"Bo District, Southern Region",SLPP
Veronica Kadie Sesay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20VERONICA%20KADIE%20SESAT%20CONST%2085%20MAYAMBA%20DISTRICT%20ID%2085.JPG,2-4,"Moyamba District, Southern Region",SLPP
