name,image,term,area,party
Ibrahim Parteh Bah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20IBRAHIM%20PARTEH%20BAH%20CONTS%2092%20WESTERN%20AREA%20RURAL%20ID%2092.JPG,2-4,"Western Rural, Western Area",APC
Ibrahim Rassin Bundu,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20IBRAHIM%20RASSIN%20BUNDU%20MAJORITY%20DEPUTY%20LEADER%20CONST%2052%20PORT%20LOKO%20DISTRICT.JPG,2-4,"Portloko District, Northern",APC
Isata Kabia,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ISATA%20KABIA%20CONST%2050%20PORT%20LOKO%20DISTRICT%20ID%2050.JPG,2-4,"Portloko District, Northern Region",APC
James N. D Alie,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20JAMES%20N.%20D.%20ALLIE%20CONST%2021%20MOYAMBA%20DISTRICT%20ID%2021.JPG,2-4,"Moyamba District, Southern Region",SLPP
Jusufu B. Mansaray,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20JUSUFU%20BARRY%20MANSARAY%20DEPUTY%20MINORITY%20WHIP%20CONST%2073%20BO%20DISTRICT%20ID%2073.JPG,2-4,"Bo District, Southern region",SLPP
Karifala Sheku Conteh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20KARIFALA%20SHEKU%20CONTEH%20CONST%20098%20WESTERN%20AREA.JPG,2-4,"Western Urban, Western Area",APC
Kemokoh Conteh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20KEMOKEH%20CONTEH%20CONST%2094%20WESTERN%20RURAL%20ID%2094.JPG,2-4,"Western Rural, Western Area",APC
Komba E. S. Boyah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20KOMBA%20.E.S.%20BOYAH%20CONST%2026%20KONO%20DISTRICT.JPG,2-4,"Kono District, Eastern Region",APC
Komba Eric Koedeyoma,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ERIC%20KOEDOYOMA%20CONST%20027%20KONO.JPG,2-4,"Kono District, Eastern Region",SLPP
Kombor Kamara,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20KOMBOR%20KAMARA%20CONST%2056%20POTR%20LOKO%20DISTRICT%20ID%2056.JPG,2-4,"Portloko District, NORTHERN",APC
Kusan Sesay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20KUSAN%20SESAY%20CONST%2043%20KOINADUGU%20DISTRICT%20ID%2043.JPG,2-4,"Koinadugu District, Northern Region",APC
Lahai Marrah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20LAHAI%20MARAH%20CONST%20045%20KAINADUGU.JPG,2-4,"Koinadugu District, Northern Region",APC
Lansana I. kemokai,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20LANSANA%20IBRIHIM%20KEMOKAI.JPG,2-4,"Kenema District, Eastern Region",SLPP
Leonard Fofana,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/Leonard%20Fofana.JPG,2-4,"Kenema District, Eastern Region",APC
Mabinty Fornah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20MABINTY%20FUNNA.JPG,2-4,"Tonkolili District, Northern Region",APC
Mabinty H. Bangura,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20MABINTY%20.H.%20BANGURA%20CONST%2042%20KAMBIA%20DISTRICT%20ID%2042.JPG,2-4,"Kambia District, Northern Region",APC
Mabinty Kadijah Sillah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20MABINTY%20KADIJAH%20SILLAH%20CONST%20028.JPG,2-4,"Bombali District, Northern Region",APC
Michael Sho Sawyerr,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20MICHEL%20SHO-SAWYER%20CONST%20108%20WESTERN%20AREA%20URBAN%20ID%20108.JPG,2-4,"Western Urban, Western Area",APC
Mima Yema M. Stephens,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20MIMA%20YEMA%20MIMI%20%20SOBBA%20STEPHENS%20%20CONST%20084.JPG,2-4,"Moyamba District, Southern Region",SLPP
