id,name,position,start_date,end_date,type
e57381e9-2595-4e9b-8489-6f3ad1479956,IRITI Teura,member of the Senate of France,,,other_legislatures
48bb0fcc-e6f2-47d0-9de1-8260b356eab1,SAGE Maina,member of the French National Assembly,2014-06-30,,other_legislatures
04db9403-324d-4a91-b25f-990863894b4b,TEMARU Oscar,President of French Polynesia,2011-04-01,2013-05-17,executive
