id,position,label,description,start_date,end_date,constituency,replaces,replaced_by,election,term,party
Q12606637,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12608054,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12608944,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12609323,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12609690,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12609709,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12609831,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12609867,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12609873,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12609952,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12610280,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12610368,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12610412,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12610532,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12610540,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12610592,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12611004,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12611149,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12611365,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12611395,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12611422,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12611525,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12611638,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12611720,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12612008,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12612132,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12612132,Q15407843,Prime Minister of South Korea,"South Korean appointee, not Head of Government",2015-02-17,2015-04-27,,Jung Hong-won,Hwang Kyo-ahn,,,
Q12612211,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12612338,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12612437,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12612480,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12612629,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12612642,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12612708,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12612887,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12612920,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12612934,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12613049,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12613110,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12613145,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12614645,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12614683,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12614768,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12615206,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q12615269,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
