name,image,party,constituency,id
Hidran McKulsky,http://jamaica-elections.com/general/2016/info/candidates_images/hidran_mckulsky_jlp.jpg,JLP,MANCHESTER SOUTHERN,hidran_mckulsky
Homer Davis,http://jamaica-elections.com/general/2016/info/candidates_images/homer_davis_jlp.jpg,JLP,ST. JAMES SOUTHERN,homer_davis
Horace Chang M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/horace_chang_jlp.jpg,JLP,ST. JAMES NORTH WESTERN,horace_chang_m.p.
Horace Dalley M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/horace_dalley_pnp.jpg,PNP,CLARENDON NORTHERN,horace_dalley_m.p.
Horace Matthews,http://jamaica-elections.com/general/2016/info/candidates_images/horace_matthews_mgppp.jpg,MGPPP,ST. ANDREW SOUTH EASTERN,horace_matthews
Hugh Buchanan M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/hugh_buchanan_pnp.jpg,PNP,ST. ELIZABETH SOUTH WESTERN,hugh_buchanan_m.p.
Ian Hayles M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/ian_hayles_pnp.jpg,PNP,HANOVER WESTERN,ian_hayles_m.p.
Imani Duncan-Price,http://jamaica-elections.com/general/2016/info/candidates_images/imani_duncan-price_pnp.jpg,PNP,ST. ANDREW EAST RURAL,imani_duncan-price
Ivan Anderson,http://jamaica-elections.com/general/2016/info/candidates_images/ivan_anderson_jlp.jpg,JLP,ST. ANN SOUTH EASTERN,ivan_anderson
Jacqueline Taylor-O'Gilvie,http://jamaica-elections.com/general/2016/info/candidates_images/jacqueline_taylor-o'gilvie_pnp.jpg,PNP,ST. ANDREW NORTH CENTRAL,jacqueline_taylor-o'gilvie
James Robertson M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/james_robertson_jlp.jpg,JLP,ST. THOMAS WESTERN,james_robertson_m.p.
Jason James,http://jamaica-elections.com/general/2016/info/candidates_images/jason_james_jlp.jpg,JLP,ST. MARY CENTRAL,jason_james
Jolyan Silvera M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/jolyan_silvera_pnp.jpg,PNP,ST. MARY WESTERN,jolyan_silvera_m.p.
Joseph Hilton,http://jamaica-elections.com/general/2016/info/candidates_images/joseph_hilton_mgppp.jpg,MGPPP,ST. JAMES SOUTHERN,joseph_hilton
Joseph Patterson,http://jamaica-elections.com/general/2016/info/candidates_images/joseph_patterson_inda.jpg,INDA,ST. ELIZABETH NORTH EASTERN,joseph_patterson
Joseph Witter,http://jamaica-elections.com/general/2016/info/candidates_images/joseph_witter_pnp.jpg,PNP,KINGSTON WESTERN,joseph_witter
Julian Robinson M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/julian_robinson_pnp.jpg,PNP,ST. ANDREW SOUTH EASTERN,julian_robinson_m.p.
Juliet Cuthbert-Flynn,http://jamaica-elections.com/general/2016/info/candidates_images/juliet_cuthbert-flynn_jlp.jpg,JLP,ST. ANDREW WEST RURAL,juliet_cuthbert-flynn
Juliet Holness,http://jamaica-elections.com/general/2016/info/candidates_images/juliet_holness_jlp.jpg,JLP,ST. ANDREW EAST RURAL,juliet_holness
Karl Samuda M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/karl_samuda_jlp.jpg,JLP,ST. ANDREW NORTH CENTRAL,karl_samuda_m.p.
Keith Blake,http://jamaica-elections.com/general/2016/info/candidates_images/keith_blake_jlp.jpg,JLP,ST. CATHERINE SOUTH EASTERN,keith_blake
Keith Walford M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/keith_walford_pnp.jpg,PNP,ST. ANN SOUTH WESTERN,keith_walford_m.p.
Kent Gammon,http://jamaica-elections.com/general/2016/info/candidates_images/kent_gammon_jlp.jpg,JLP,CLARENDON SOUTH WESTERN,kent_gammon
Kerensia Morrison,http://jamaica-elections.com/general/2016/info/candidates_images/kerensia_morrison_jlp.jpg,JLP,ST. CATHERINE NORTH CENTRAL,kerensia_morrison
Leonard Sharpe,http://jamaica-elections.com/general/2016/info/candidates_images/leonard_sharpe_ndm.jpg,NDM,HANOVER WESTERN,leonard_sharpe
Leslie Campbell,http://jamaica-elections.com/general/2016/info/candidates_images/leslie_campbell_jlp.jpg,JLP,ST. CATHERINE NORTH EASTERN,leslie_campbell
Lisa Hanna M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/lisa_hanna_pnp.jpg,PNP,ST. ANN SOUTH EASTERN,lisa_hanna_m.p.
Lisa-Ann Edwards,http://jamaica-elections.com/general/2016/info/candidates_images/lisa-ann_edwards_pnp.jpg,PNP,ST. ANDREW NORTH EASTERN,lisa-ann_edwards
Lloyd Gillings,http://jamaica-elections.com/general/2016/info/candidates_images/lloyd_gillings_pnp.jpg,PNP,TRELAWNY SOUTHERN,lloyd_gillings
Lloyd Smith,http://jamaica-elections.com/general/2016/info/candidates_images/lloyd_smith_ndm.jpg,NDM,ST. CATHERINE NORTH CENTRAL,lloyd_smith
Luther Buchanan M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/luther_buchanan_pnp.jpg,PNP,WESTMORELAND EASTERN,luther_buchanan_m.p.
Lynvale Bloomfield M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/lynvale_bloomfield_pnp.jpg,PNP,PORTLAND EASTERN,lynvale_bloomfield_m.p.
Marisa Dalrymple-Philibert M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/marisa_dalrymple-philibert_jlp.jpg,JLP,TRELAWNY SOUTHERN,marisa_dalrymple-philibert_m.p.
Marlene Malahoo-Forte,http://jamaica-elections.com/general/2016/info/candidates_images/marlene_malahoo-forte_jlp.jpg,JLP,ST. JAMES WEST CENTRAL,marlene_malahoo-forte
Marsha Francis,http://jamaica-elections.com/general/2016/info/candidates_images/marsha_francis_pnp.jpg,PNP,ST. THOMAS WESTERN,marsha_francis
Mervyn Wint,http://jamaica-elections.com/general/2016/info/candidates_images/mervyn_wint_ind.jpg,IND,ST. ELIZABETH SOUTH WESTERN,mervyn_wint
Michael Greenland,http://jamaica-elections.com/general/2016/info/candidates_images/michael_greenland_ppp.jpg,PPP,ST. ANDREW NORTH WESTERN,michael_greenland
Michael Henry M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/michael_henry_jlp.jpg,JLP,CLARENDON CENTRAL,michael_henry_m.p.
Michael Stern,http://jamaica-elections.com/general/2016/info/candidates_images/michael_stern_jlp.jpg,JLP,CLARENDON NORTH WESTERN,michael_stern
Michael Stewart,http://jamaica-elections.com/general/2016/info/candidates_images/michael_stewart_pnp.jpg,PNP,MANCHESTER SOUTHERN,michael_stewart
Mikael Phillips M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/mikael_phillips_pnp.jpg,PNP,MANCHESTER NORTH WESTERN,mikael_phillips_m.p.
Morais Guy M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/morais_guy_pnp.jpg,PNP,ST. MARY CENTRAL,morais_guy_m.p.
Natalie Neita-Headley M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/natalie_neita-headley_pnp.jpg,PNP,ST. CATHERINE NORTH CENTRAL,natalie_neita-headley_m.p.
Newton Amos,http://jamaica-elections.com/general/2016/info/candidates_images/newton_amos_jlp.jpg,JLP,ST. CATHERINE NORTH WESTERN,newton_amos
Noel Arscott M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/noel_arscott_pnp.jpg,PNP,CLARENDON SOUTH WESTERN,noel_arscott_m.p.
Noel Donaldson,http://jamaica-elections.com/general/2016/info/candidates_images/noel_donaldson_pnp.jpg,PNP,ST. JAMES EAST CENTRAL,noel_donaldson
Norma-Lue Lindsay,http://jamaica-elections.com/general/2016/info/candidates_images/norma-lue_lindsay_pnp.jpg,PNP,CLARENDON CENTRAL,norma-lue_lindsay
Norman Dunn,http://jamaica-elections.com/general/2016/info/candidates_images/norman_dunn_jlp.jpg,JLP,ST. MARY SOUTH EASTERN,norman_dunn
Norris Grant,http://jamaica-elections.com/general/2016/info/candidates_images/norris_grant_pnp.jpg,PNP,ST. CATHERINE CENTRAL,norris_grant
Olivia Grange M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/olivia_grange_jlp.jpg,JLP,ST. CATHERINE CENTRAL,olivia_grange_m.p.
Omar Davies M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/omar_davies_pnp.jpg,PNP,ST. ANDREW SOUTHERN,omar_davies_m.p.
Omar Frith,http://jamaica-elections.com/general/2016/info/candidates_images/omar_frith_jlp.jpg,JLP,MANCHESTER NORTH WESTERN,omar_frith
Othneil Lawrence,http://jamaica-elections.com/general/2016/info/candidates_images/othneil_lawrence_jlp.jpg,JLP,ST. ANN NORTH WESTERN,othneil_lawrence
Patricia Sutherland,http://jamaica-elections.com/general/2016/info/candidates_images/patricia_sutherland_pnp.jpg,PNP,CLARENDON SOUTH EASTERN,patricia_sutherland
Patrick Roberts,http://jamaica-elections.com/general/2016/info/candidates_images/patrick_roberts_pnp.jpg,PNP,ST. ANDREW WEST CENTRAL,patrick_roberts
Paul Buchanan M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/paul_buchanan_pnp.jpg,PNP,ST. ANDREW WEST RURAL,paul_buchanan_m.p.
Paul Ward,http://jamaica-elections.com/general/2016/info/candidates_images/paul_ward_ind.jpg,IND,ST. MARY WESTERN,paul_ward
Pearnel Charles M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/pearnel_charles_jlp.jpg,JLP,CLARENDON NORTH CENTRAL,pearnel_charles_m.p.
Peter Bunting M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/peter_bunting_pnp.jpg,PNP,MANCHESTER CENTRAL,peter_bunting_m.p.
Peter Phillips M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/peter_phillips_pnp.jpg,PNP,ST. ANDREW EAST CENTRAL,peter_phillips_m.p.
Phillip Paulwell M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/phillip_paulwell_pnp.jpg,PNP,KINGSTON EAST AND PORT ROYAL,phillip_paulwell_m.p.
Phyllis Mitchell,http://jamaica-elections.com/general/2016/info/candidates_images/phyllis_mitchell_pnp.jpg,PNP,ST. CATHERINE NORTH EASTERN,phyllis_mitchell
Portia Simpson-Miller M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/portia_simpson-miller_pnp.jpg,PNP,ST. ANDREW SOUTH WESTERN,portia_simpson-miller_m.p.
Ras-Astor Black,http://jamaica-elections.com/general/2016/info/candidates_images/ras-astor_black_ndm.jpg,NDM,ST. JAMES SOUTHERN,ras-astor_black
Richard Azan M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/richard_azan_pnp.jpg,PNP,CLARENDON NORTH WESTERN,richard_azan_m.p.
Richard Parchment M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/richard_parchment_pnp.jpg,PNP,ST. ELIZABETH SOUTH EASTERN,richard_parchment_m.p.
Robert Chin,http://jamaica-elections.com/general/2016/info/candidates_images/robert_chin_jlp.jpg,JLP,KINGSTON CENTRAL,robert_chin
Robert Cover,http://jamaica-elections.com/general/2016/info/candidates_images/robert_cover_mgppp.jpg,MGPPP,ST. THOMAS WESTERN,robert_cover
Robert Montague,http://jamaica-elections.com/general/2016/info/candidates_images/robert_montague_jlp.jpg,JLP,ST. MARY WESTERN,robert_montague
Robert Pickersgill M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/robert_pickersgill_pnp.jpg,PNP,ST. CATHERINE NORTH WESTERN,robert_pickersgill_m.p.
Ronald Thwaites M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/ronald_thwaites_pnp.jpg,PNP,KINGSTON CENTRAL,ronald_thwaites_m.p.
Rosemarie Higgins-Campbell,http://jamaica-elections.com/general/2016/info/candidates_images/rosemarie_higgins-campbell_ndm.jpg,NDM,ST. ANDREW NORTH WESTERN,rosemarie_higgins-campbell
Rudyard Mears,http://jamaica-elections.com/general/2016/info/candidates_images/rudyard_mears_pnp.jpg,PNP,ST. CATHERINE SOUTH WESTERN,rudyard_mears
Rudyard Spencer M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/rudyard_spencer_jlp.jpg,JLP,CLARENDON SOUTH EASTERN,rudyard_spencer_m.p.
Saphire longmore,http://jamaica-elections.com/general/2016/info/candidates_images/saphire_longmore_jlp.jpg,JLP,ST. ELIZABETH NORTH EASTERN,saphire_longmore
Shahine Robinson M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/shahine_robinson_jlp.jpg,JLP,ST. ANN NORTH EASTERN,shahine_robinson_m.p.
Sharon Ffolkes-Abrahams M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/sharon_ffolkes-abrahams_pnp.jpg,PNP,ST. JAMES WEST CENTRAL,sharon_ffolkes-abrahams_m.p.
St-Aubyn Bartlett,http://jamaica-elections.com/general/2016/info/candidates_images/st-aubyn_bartlett_jlp.jpg,JLP,MANCHESTER CENTRAL,st-aubyn_bartlett
Terrence Lindo,http://jamaica-elections.com/general/2016/info/candidates_images/terrence_lindo_ndm.jpg,NDM,ST. ANDREW NORTH EASTERN,terrence_lindo
Toraino Beckford,http://jamaica-elections.com/general/2016/info/candidates_images/toraino_beckford_ind.jpg,IND,WESTMORELAND CENTRAL,toraino_beckford
Trevor Webb,http://jamaica-elections.com/general/2016/info/candidates_images/trevor_webb_jlp.jpg,JLP,ST. ANDREW WESTERN,trevor_webb
Upton Blake,http://jamaica-elections.com/general/2016/info/candidates_images/upton_blake_ppp.jpg,PPP,ST. CATHERINE SOUTH WESTERN,upton_blake
Valenton Wint,http://jamaica-elections.com/general/2016/info/candidates_images/valenton_wint_pnp.jpg,PNP,MANCHESTER NORTH EASTERN,valenton_wint
Vernon Hemmings,http://jamaica-elections.com/general/2016/info/candidates_images/vernon_hemmings_pnp.jpg,PNP,PORTLAND WESTERN,vernon_hemmings
Victor Hyde,http://jamaica-elections.com/general/2016/info/candidates_images/victor_hyde_jlp.jpg,JLP,ST. ANDREW SOUTH WESTERN,victor_hyde
Victor Wright,http://jamaica-elections.com/general/2016/info/candidates_images/victor_wright_pnp.jpg,PNP,TRELAWNY NORTHERN,victor_wright
Welton Shettlewood,http://jamaica-elections.com/general/2016/info/candidates_images/welton_shettlewood_jlp.jpg,JLP,ST. CATHERINE SOUTHERN,welton_shettlewood
William Hutchinson M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/william_hutchinson_jlp.jpg,JLP,ST. ELIZABETH NORTH WESTERN,william_hutchinson_m.p.
Winston Green M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/winston_green_pnp.jpg,PNP,ST. MARY SOUTH EASTERN,winston_green_m.p.
Wykeham McNeil M.P.,http://jamaica-elections.com/general/2016/info/candidates_images/wykeham_mcneil_pnp.jpg,PNP,WESTMORELAND WESTERN,wykeham_mcneil_m.p.
Wynter McIntosh,http://jamaica-elections.com/general/2016/info/candidates_images/wynter_mcintosh_pnp.jpg,PNP,HANOVER EASTERN,wynter_mcintosh
Zavia Mayne,http://jamaica-elections.com/general/2016/info/candidates_images/zavia_mayne_jlp.jpg,JLP,ST. ANN SOUTH WESTERN,zavia_mayne
