seatid,id,name,constituency,website,photograph,party,term,source,end_date
29,1029,Md. Manjurul Islam Liton,Gaibandha,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2402,http://www.parliament.gov.bd/images/10th_Par_Picture/1029.jpg,Bangladesh Awami League,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english,2016-12-31
225,2225,Suranjit Sengupta,Sunamganj,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english?layout=edit&id=2123,http://www.parliament.gov.bd/images/parliament/mps-9th-parliament/2225.jpg,Bangladesh Awami League,10,http://www.parliament.gov.bd/index.php/en/mps/members-of-parliament/current-mp-s/list-of-10th-parliament-members-english,2017-02-05
