uuid,female,male,other,skip,total
d231c681-64bf-4574-bc89-f1c1554942e7,2,0,0,0,2
d3d09755-a19c-4814-a170-abaf85167a67,0,2,0,0,2
db247d4b-4ee9-4bc4-9e01-1732638f8806,0,1,0,0,1
dd2443f9-911c-43f4-ac4a-a331b41d7e5e,0,2,0,0,2
dd7e6032-e3f4-48e0-867e-ea8784aba063,0,1,0,0,1
de40b558-1ae7-4fc4-a646-53ebb6d3b4a8,0,2,0,0,2
e5b4132a-eb24-474a-88fd-6d6fdbac93d4,1,0,0,0,1
eadd78df-d9dc-401b-944e-326ae86b3170,0,2,0,0,2
ed33e0bd-2245-4e13-a216-1a09140aedca,0,1,0,0,1
ee0ae193-13c6-43d4-9b4e-4bddd56cba19,0,2,0,0,2
ef135125-4c34-44e4-ac37-33fd1893f939,1,0,0,0,1
f1d12d0a-0acf-4c94-b76a-35a3847c8332,0,1,0,1,2
f2cfa609-94ec-475e-a1c9-4397a1f1bfd0,0,2,0,0,2
f82c4c6a-0867-49a9-9097-6d8e1d877ff8,2,0,0,0,2
fae66e02-38a4-4cfa-beda-9e3674e8dcbc,2,0,0,0,2
fd282551-db7a-4fa4-a52a-2353c2b2ce9f,0,1,0,0,1
fe656789-81da-4012-b08c-212b99b3a007,0,2,0,0,2
