id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
e8c04c7c-a997-4d4e-906c-f4660c77187b,Fatima Ezzahra Nazih,Nazih Fatima Ezzahra,,,,Mouvement Populaire,MP,area/national,National,House of Representatives,10,,,,female
31a8363c-2dc9-4601-b9d7-95976f50ee7b,Fatima Saadi,Saadi Fatima,,,,Parti Authenticité et Modernité,PAM,area/national,National,House of Representatives,10,,,,female
81f36f13-01e9-4e3f-b4f1-18f3a90a96fc,Fatima Toussi,Toussi Fatima,,,,Parti Authenticité et Modernité,PAM,area/national,National,House of Representatives,10,,,,female
9e804554-c15a-42a6-998e-b4d2af4b38f4,Fouad DARKAOUI,Derqaoui Fouad,,,,Parti Authenticité et Modernité,PAM,area/driouch,DRIOUCH,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_88.jpg?itok=_O3Zxct5,
55c55262-8588-4ff8-8bf9-29926e53ff3e,Fouad ELOMARI,El Omari Fouad,,,,Parti Authenticité et Modernité,PAM,area/tanger-assilah,TANGER-ASSILAH,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_305.jpg?itok=t-Z6a9Tv,
1a88b7da-6e2a-4507-96fe-716f84b2d145,Ghita Ait Ben Elmadani,Ait Ben Elmadani Ghita,,,,Parti Authenticité et Modernité,PAM,area/national,National,House of Representatives,10,,,,female
eecdc880-b085-48bc-842b-abc96d9d9679,Ghita Badroun,Badroun Ghita,,,,Parti Authenticité et Modernité,PAM,area/national,National,House of Representatives,10,,,,
17b638bc-d603-430d-92af-b110a5321d56,Ghita El Hatimi,El Hatimi Ghita,,,,Mouvement Populaire,MP,area/national,National,House of Representatives,10,,,,female
d33f0c1e-1f4a-4d7c-8e43-5ddce0c39bc4,Ghizlane Merzouki,Merzouki Ghizlane,,,,Parti de l'Union Constitutionnelle,UC,area/national,National,House of Representatives,10,,,,female
6d21d77a-36bc-4eb0-9740-0d31ab5882fa,Habib EL MALKI,Elmalki Elhabib,,,,Union Socialiste des Forces Populaires,USFP,area/khouribga,KHOURIBGA,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_176.jpg?itok=i3HS_Q6O,
5c5cd524-addc-41c5-a073-c7238a59df26,Hachem Amine Chafik,Chafik Hachem Amine,,,,Parti de l'Union Constitutionnelle,UC,area/mediouna,MEDIOUNA,House of Representatives,10,,,,
7ecee23d-bb3c-4b68-bc0e-b615d7c1480f,Hajar Elmaski,Elmaski Hajar,,,,Parti de l'Union Constitutionnelle,UC,area/national,National,House of Representatives,10,,,,female
65949774-f86e-408b-8dbf-9a77aaaef6fd,Hakima Bel Qsaoui,Bel Qsaoui Hakima,,,,Mouvement Populaire,MP,area/national,National,House of Representatives,10,,,,female
e28ec2db-df0b-4520-bb13-756bd8708b24,Halim Fouad,Fouad Halim,,,,Parti Authenticité et Modernité,PAM,area/beni_-_mellal,BENI - MELLAL,House of Representatives,10,,,,
009eda8c-6791-468b-88ea-8d1dbe8cb8db,Hamdi Ouaissi,Ouaissi Hamdi,,,,Union Socialiste des Forces Populaires,USFP,area/assa_-_zag,ASSA - ZAG,House of Representatives,10,,,,
6f4b7dfe-f402-412a-9be7-21fec52614ac,Hamid CHABAT,Chabat Hamid,,,,Parti de l'Istiqlal,PI,area/fes_achamalia,FES ACHAMALIA,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_317.jpg?itok=iiZM2wM7,male
a01c5842-d0ca-436d-abe7-ddb50eedbaf0,Hamid Elaarchi,Elaarchi Hamid,,,,Rassemblement National des Indépendants,RNI,area/khouribga,KHOURIBGA,House of Representatives,10,,,,
e6dba490-0ced-4887-ba6d-f29109f629b2,Hamid Elbehja,Elbehja Hamid,,,,Rassemblement National des Indépendants,RNI,area/taroudannt_chamalia,TAROUDANNT CHAMALIA,House of Representatives,10,,,,
92b4ddb0-cbc6-4869-800c-88ff57007cc6,Hamid IBRAHIMI,Ibrahimi Hamid,,,,Mouvement Populaire,MP,area/beni_-_mellal,BENI - MELLAL,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_219.jpg?itok=LoFA9o7g,
91eb96e6-ebb9-4299-9bc4-7d9c833c1406,Hamid Ouahbi,Ouahbi Hamid,,,,Parti Authenticité et Modernité,PAM,area/agadir_-_ida-_outanane,AGADIR - IDA- OUTANANE,House of Representatives,10,,,,
32053794-959e-4555-9f63-4570c58f6317,Hamza Soufi,Soufi Hamza,,,,Parti de la Justice et du Développement,PJD,area/chichaoua,CHICHAOUA,House of Representatives,10,,,,
b5af972a-0ef5-40cb-9397-d41c81ad0ca5,Hanane Rihab,Rihab Hanane,,,,Union Socialiste des Forces Populaires,USFP,area/national,National,House of Representatives,10,,,,
9e9374cc-86dd-4385-aaf7-5e6240b21bc0,Hassan ARIF,Aarif Hassan,,,,Parti de l'Union Constitutionnelle,UC,area/skhirate_-_temara,SKHIRATE - TEMARA,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_159.jpg?itok=VbRQP2uB,
