id,position,label,description,start_date,replaces,replaced_by,end_date,of,constituency,term,election,party
Q1422207,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1422207,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1422544,Q18557729,member of the Volkskammer,"","",,,,,,,,
Q1422544,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1423477,Q17521638,Member of the Landtag of Lower Saxony,"","",,,,,,,,
Q1423477,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1424335,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1424446,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1425037,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1425124,Q19360355,Member of the Hamburg Parliament,"","",,,,,,,,
Q1425124,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1425124,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
Q1425177,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1425602,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1426027,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1426157,Q17441472,member of the Bürgerschaft of Bremen,"","",,,,,,,,
Q1426615,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1426615,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q1427020,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1428190,Q17781726,member of the Landtag of North Rhine-Westphalia,"","",,,,,,,,
Q1428190,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1428190,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1428897,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1429598,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1429695,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q1429695,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,,,,
Q1429938,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1430979,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1432067,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1432623,Q18327335,Member of the Abgeordnetenhaus of Berlin,"","",,,,,,,,
Q1432623,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1432847,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1432991,Q17521638,Member of the Landtag of Lower Saxony,"","",,,,,,,,
Q1432991,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1433009,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1433266,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1433600,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1433600,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1433770,Q17781726,member of the Landtag of North Rhine-Westphalia,"","",,,,,,,,
Q1433770,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1433770,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1435438,Q17519166,Member of the Hessian Parliament,"","",,,,,,,,
