id,position,label,description,start_date,replaces,replaced_by,end_date,of,constituency,term,election,party
Q1466388,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1466423,Q18327335,Member of the Abgeordnetenhaus of Berlin,"","",,,,,,,,
Q1466423,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1466480,Q17521638,Member of the Landtag of Lower Saxony,"","",,,,,,,,
Q1466480,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,,,,
Q1466503,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1466635,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1467183,Q17519166,Member of the Hessian Parliament,"","",,,,,,,,
Q1467183,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1467355,Q17586301,Member of the Landtag of Bavaria,"","",,,,,,,,
Q1467355,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1467368,Q17521638,Member of the Landtag of Lower Saxony,"","",,,,,,,,
Q1467368,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1467368,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q1467396,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1467497,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1467708,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1468009,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1468009,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1468061,Q18618563,Member of Landtag of Rhineland-Palatinate,"","",,,,,,,,
Q1468061,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1468061,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q1468342,Q18557729,member of the Volkskammer,"","",,,,,,,,
