id,name,photo,source,date_of_birth,party,cons,area,term
4508,خالد عبد المعبود بشر محمد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4508,http://www.parliament.gov.eg/members/,1970-12-22,مستقبل وطن,الشرقية,الشرقية,2015
4509,فايز حسن يوسف ابو خضرة,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4509,http://www.parliament.gov.eg/members/,1956-04-02,الوفد الجديد,الشرقية,الشرقية,2015
4510,سحر احمد فكرى حسن عثمان,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4510,http://www.parliament.gov.eg/members/,1969-12-10,مستقل,الشرقية,الشرقية,2015
4511,محمد حافظ حسين الزاهد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4511,http://www.parliament.gov.eg/members/,1952-05-21,الوفد الجديد,الشرقية,الشرقية,2015
4512,خالد عبد الرحمن عبد الله احمد مشهور,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4512,http://www.parliament.gov.eg/members/,1965-03-29,مستقبل وطن,الشرقية,الشرقية,2015
4513,محمد صلاح عبد البديع السيد هاشم,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4513,http://www.parliament.gov.eg/members/,1959-06-13,مستقل,الشرقية,الشرقية,2015
4514,عبير السيد محمود حنفى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4514,http://www.parliament.gov.eg/members/,1985-10-24,مستقل,الشرقية,الشرقية,2015
4515,عبد الله احمد جمال الدين ابراهيم لاشين,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4515,http://www.parliament.gov.eg/members/,1967-03-07,مستقبل وطن,الشرقية,الشرقية,2015
4516,عصام ابو المجد سليم نصار,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4516,http://www.parliament.gov.eg/members/,1959-06-05,مستقل,الشرقية,الشرقية,2015
4517,محمود محمد شحاته زايد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4517,http://www.parliament.gov.eg/members/,1945-11-01,الوفد الجديد,الشرقية,الشرقية,2015
4518,عبد الباقى محمود احمد تركيا,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4518,http://www.parliament.gov.eg/members/,1952-02-13,مستقل,الشرقية,الشرقية,2015
4519,محمد محمد على كلوب,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4519,http://www.parliament.gov.eg/members/,1957-10-03,حراس الثورة,الشرقية,الشرقية,2015
4520,نوسيله اسماعيل احمد سويلم,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4520,http://www.parliament.gov.eg/members/,1968-12-23,مستقل,الشرقية,الشرقية,2015
4521,ثروت محمد فكرى فؤاد سويلم,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4521,http://www.parliament.gov.eg/members/,1963-01-01,المصريين الاحرار,الشرقية,الشرقية,2015
4522,السيد احمد عبد اللطيف عثمان عبد الله,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4522,http://www.parliament.gov.eg/members/,1954-02-21,مستقل,الشرقية,الشرقية,2015
4523,خالد عبد العظيم احمد عبد المولى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4523,http://www.parliament.gov.eg/members/,1975-09-11,مستقل,الشرقية,الشرقية,2015
4524,رائف السيد محمد اسماعيل,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4524,http://www.parliament.gov.eg/members/,1968-09-16,مستقل,الشرقية,الشرقية,2015
4525,صلاح منصور عبد العال عبد الحميد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4525,http://www.parliament.gov.eg/members/,1971-11-25,مستقل,الشرقية,الشرقية,2015
4526,محمد عبدالحليم محمد فهمى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4526,http://www.parliament.gov.eg/members/,1951-08-15,المصريين الاحرار,الشرقية,الشرقية,2015
4527,احمد محمد سلام الشرقاوى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4527,http://www.parliament.gov.eg/members/,1972-10-01,مستقل,الدقهلية,الدقهلية,2015
