id,label,description,type
Q6865949,Minister for Security,"",cabinet
Q24262601,Minister of Foreign Affairs of Uganda,foreign affairs minister of Uganda,cabinet
Q2462330,Prime Minister of Uganda,"",cabinet
Q5358201,attorney general,main legal advisor to the government,cabinet
