id,name,start_date,end_date,wikidata
2016,State Grand Khural 2016-,2016-07-05,,Q28112522
2012,State Grand Khural 2012–2016,2012-06-28,2016-06-28,Q28112515
2008,State Grand Khural 2008–2012,2008-07-23,2012-06-28,Q28112313
