id,uuid
berckmoes-duindam-y-vvd,8d655b51-59cc-4599-828f-43578eca3fd0
mulder-vvd,8df728a2-c8a8-4a8f-9618-f05a41f6a2fa
thieme-ml-pvdd,8e4aa2d6-9046-4485-942b-5aed026f34d3
bosma-m-pvv,8edc70c4-9b07-4d74-b428-e73e6e2f92a3
elias-tmch-vvd,912e553b-8855-4025-8127-1625d86688fd
bisschop-r-sgp,9158137c-f034-4e5b-81c8-6f30c1e638c8
vos-ml-pvda,9380ab4e-5a30-4006-8003-c0e92df653c5
ronnes-hag-cda,93b83d99-0389-440d-ae99-99f256209604
moors-pjmj-vvd,95f3269c-f0bd-4c06-90a5-ed659d3da57e
dijkstra-pa-d66,9726cac1-f40a-4f18-a98c-d806a4ded068
weyenberg-spra-van-d66,9904d8d1-1c2e-4d3a-bcb6-7e184380e441
linde-re-van-der-vvd,9987a5e7-e313-480d-ad7e-b5927a070df9
bergkamp-va-d66,9b1e699f-800e-4c27-a6e4-52724e8710e4
voordewind-js-cu,9bf809a7-d2d9-4dd9-9047-25916dc543d5
veen-ms-van-vvd,9cc9e6d1-9e04-45c8-9931-0598e23f045e
siderius-te-sp,9d948c6a-0bea-4590-a340-a106489d01ec
azmani-m-vvd,a04b7668-1d70-4648-8e26-53c087522f98
lange-la-de-vvd,a07437e1-33b6-4f44-86f0-089c52b05cde
wolbert-ag-pvda,a20a365d-97a6-439f-9905-4e865f953743
dekken-tr-van-pvda,a4b5557f-e2ec-428c-b9fb-0bc9c9620afd
arib-k-pvda,a616b100-4973-49ef-8e3e-9e0f71daf936
burg-bi-van-der-vvd,a71a57d5-941a-4625-831d-8def3b430250
dam-mhp-van-pvda,a99cdaaa-928e-41ae-b249-699f1d7323bb
staaij-cg-van-der-sgp,ab598845-9b5c-479a-8d9a-27b3e88b4d4b
samsom-dm-pvda,ab745a23-b7ea-43ea-860d-64ecf301a59c
mohandis-m-pvda,acecba8f-eda0-4cf2-9136-5a542a62c02b
nijkerken-de-haan-cna-vvd,b35a2f8f-1d7b-4e87-bf9a-6e7f8d14ac89
dikkers-sw-pvda,b6f9cc64-c050-4016-85c4-b8b79c029558
dik-faber-rk-cu,b6fbf8ea-384c-458c-8c5b-d860b77db4cf
ulenbelt-p-sp,b79fb605-8c0e-4553-84d3-874841c681b1
ypma-l-pvda,b9b2dd6c-a195-43ea-8093-2afb179b962d
schut-welkzijn-vvd,bc9f8d50-6092-49f9-b645-30ddee937247
madlener-b-pvv,beba2ad6-6ab7-464a-ba31-167944be3452
visser-b-vvd,c0e7e8e8-142a-4e46-b28f-e24c3e8074cb
oosten-f-van-vvd,c131ea40-908d-4b01-8fcc-5add567d45be
jacobi-l-pvda,c28be4a9-a25d-4230-80ee-b288628333bc
broeke-jh-ten-vvd,c5cfcb12-2164-491e-9220-7ff8605dcf4a
klever-rj-pvv,c66995b8-d9d4-4b90-b7e2-c834a92d4f88
voortman-lgj-gl,c7a9240c-065d-4d9c-b347-9cdfdc0c0bed
straus-kcj-vvd,cd88eaa9-130f-4ef5-99df-c80d466f0188
rog-mrj-cda,cddb22ba-e488-434f-ae54-58ea8a15fd1c
meenen-ph-van-d66,d3b82d3a-42e8-4164-a028-db6c7c0dcebe
lodders-wjh-vvd,d44058af-96a0-47b9-b882-1923aaf36708
graus-djg-pvv,d455e619-4f8b-45e7-82fe-59a7aea990de
smaling-ema-sp,d4bd46ba-3249-4da6-9284-226b421173ec
verhoeven-k-d66,d51e9268-39cb-4359-b6b3-217fd2f8cb06
%C3%B6zt%C3%BCrk-s-grk%C3%B6,d74616c2-9bec-4b4f-9bd5-6794a9ce7cc1
omtzigt-ph-cda,d7ea429d-3ee5-483f-a267-d51a8ba4e06a
heerema-rj-vvd,d9a856db-4467-48a2-ba7a-eaa8a0362091
grashoff-hj-gl,da32763c-103e-4229-afe7-3cfd6f03a4c7
veldman-hs-vvd,da7c57b9-b13b-453f-b516-40f868cd7fb3
kuiken-ah-pvda,dbbad797-9cd4-4508-b40e-b2dc2dd6f512
helder-lmjs-pvv,dc838a59-fd35-4404-af72-87f032a615a5
dijkstra-rj-vvd,dd1a128e-24fd-42f8-88be-7ad4fed5a4f1
veldhoven-s-van-d66,ddf5805e-1563-4805-b737-32612db0fd71
roemer-egm-sp,dea3040d-51a6-413d-95e8-1a1efbd3198f
monasch-js-pvda,df2c3b1e-6ee8-4acd-a225-e053f68a30dc
monasch-js-monasch,df2c3b1e-6ee8-4acd-a225-e053f68a30dc
wilders-g-pvv,df3fc851-a83d-4984-86af-3ee711d2140a
sjoerdsma-sw-d66,e203d11d-d03d-425b-ab66-6f99d0923f7e
velde-r-van-der-pvda,e382e3cf-90a7-41ec-88b9-77ef4b23dc52
bashir-f-sp,e452a598-457b-48bd-abeb-0c0d0ac7399a
gesthuizen-smjg-sp,e4b94d75-1eac-45c7-b938-c7479eb25d00
nispen-m-van-sp,e63bf31d-3c1e-4df7-b52b-b02a5cfba3a1
asante-aa-pvda,e96180ac-d384-48be-8578-4f11a869f65f
jadnanansing-tm-pvda,e9acedd0-e27e-4b23-93e8-ef20c39f95e8
oskam-p-cda,eafc4f0d-740f-4c1e-8bc4-cd4a6cdd1e0a
schouten-cj-cu,ec6af3a0-445a-4078-b386-54fe13956348
leijten-rm-sp,eeba3724-3c13-4f60-9518-c2533a5cee66
segers-gjm-cu,efcceb6d-3814-4b17-9e9f-564bf825fd9b
krol-hcm-50plus,f0cc3061-24bb-4afe-a303-86e5a657551c
lucas-aw-vvd,f16349f1-af33-43f2-a2b7-2052aefd84fc
laar-rp-van-pvda,f4ff360b-8f67-41c8-9bed-098aa759e7ca
ree-da-van-der-vvd,f72d702d-d07d-4936-bdbc-f6fa4af057ef
fritsma-sr-pvv,f92163d5-9607-4b94-b519-1a7c210c5e74
cegerek-y-pvda,fa1ad105-4cb6-4570-97aa-78594f37de63
karabulut-s-sp,fa688829-e728-4337-bef1-d691d3573358
klein-npm-klein,fbbed64c-6645-44ef-99d6-c8fcb6366288
gerven-hpj-van-sp,fc97ff79-4450-471e-b47a-35fa12ede64b
dijkgraaf-e-sgp,fe2dc3f4-4071-4591-b20e-ab39411fe0b9
belhaj-s-d66,feccfdea-2e24-4792-96a9-d83b40d24a18
boer-bg-de-vvd,ff5c0ca3-63ce-416e-8134-7dc1cbbd74f0
