id,name,area,image,term,source,last_seen
kaminskiy-anatoliy-vladimirovich,КАМИНСКИЙ Анатолий Владимирович,,http://vspmr.org/im.xp/049050050051124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/kaminskiy-anatoliy-vladimirovich/,
korshunov-aleksandr-viktorovich,КОРШУНОВ Александр Викторович,1,http://vspmr.org/im.xp/049050050056124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/korshunov-aleksandr-viktorovich/,
korshunov-aleksandr-viktorovich,КОРШУНОВ Александр Викторович,1,http://vspmr.org/im.xp/049050050056124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/korshunov-aleksandr-viktorovich/,2016-12-15
kotsyubenko-andrey-borisovich,КОЦЮБЕНКО Андрей Борисович,25,http://vspmr.org/im.xp/049050051049124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/kotsyubenko-andrey-borisovich/,
kovalj-efimiy-mihaylovich,КОВАЛЬ Ефимий Михайлович,31,http://vspmr.org/im.xp/054057052124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/kovalj-efimiy-mihaylovich/,
kovalj-efimiy-mihaylovich,КОВАЛЬ Ефимий Михайлович,31,http://vspmr.org/im.xp/054057052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/kovalj-efimiy-mihaylovich/,2016-12-15
krasnoseljskiy-vadim-nikolaevich,КРАСНОСЕЛЬСКИЙ Вадим Николаевич,7,http://vspmr.org/im.xp/050057052054052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/krasnoseljskiy-vadim-nikolaevich/,2016-12-14
kravchuk-vadim-viktorovich,КРАВЧУК Вадим Викторович,18,http://vspmr.org/im.xp/049054052050050124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/kravchuk-vadim-viktorovich/,2016-12-15
kulakli-valeriy-dmitrievich,КУЛАКЛИ Валерий Дмитриевич,4,http://vspmr.org/im.xp/049050051051124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/kulakli-valeriy-dmitrievich/,
leontjev-oleg-sergeevich,ЛЕОНТЬЕВ Олег Сергеевич,9,http://vspmr.org/im.xp/049050051057124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/leontjev-oleg-sergeevich/,
leontjev-oleg-sergeevich,ЛЕОНТЬЕВ Олег Сергеевич,9,http://vspmr.org/im.xp/049054056053056124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/leontjev-oleg-sergeevich/,2016-12-15
levitskiy-vadim-fedorovich,ЛЕВИЦКИЙ Вадим Федорович,41,http://vspmr.org/im.xp/049050051055124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/levitskiy-vadim-fedorovich/,
levitskiy-vadim-fedorovich,ЛЕВИЦКИЙ Вадим Федорович,41,http://vspmr.org/im.xp/049054052050055124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/levitskiy-vadim-fedorovich/,2016-12-15
lipskiy-vadim-georgievich,ЛИПСКИЙ Вадим Георгиевич,33,http://vspmr.org/im.xp/049050052051124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/lipskiy-vadim-georgievich/,
