id,name
area/na-190_(bahawalnagar-iii),NA-190 (Bahawalnagar-III)
area/na-191_(bahawalnagar-iv),NA-191 (Bahawalnagar-IV)
area/na-192_(r.y.khan-i),NA-192 (R.Y.Khan-I)
area/na-193_(r.y.khan-ii),NA-193 (R.Y.Khan-II)
area/na-194_(r.y.khan-iii),NA-194 (R.Y.Khan-III)
area/na-195_(r.y.khan-iv),NA-195 (R.Y.Khan-IV)
area/na-196_(r.y.khan-v),NA-196 (R.Y.Khan-V)
area/na-197_(r.y.khan-vi),NA-197 (R.Y.Khan-VI)
area/na-198_(sukkur-i),NA-198 (Sukkur-I)
area/na-199_(sukkur-cum-shikarpur_(ii)_(old_sukkur-ii)),NA-199 (SUKKUR-CUM-SHIKARPUR (II) (OLD SUKKUR-II))
area/na-19_(haripur),NA-19 (Haripur)
area/na-1_(peshawar-i),NA-1 (Peshawar-I)
area/na-200_(ghotki-i),NA-200 (Ghotki-I)
area/na-201_(ghotki-ii),NA-201 (Ghotki-II)
area/na-202_(shikarpur_(old_shikarpur-i)),NA-202 (SHIKARPUR (OLD SHIKARPUR-I))
area/na-203_(shikarpur-cum-sukkur_(old_shikarpur-ii)),NA-203 (SHIKARPUR-CUM-SUKKUR (OLD SHIKARPUR-II))
area/na-204_(larkana_(old_larkana)),NA-204 (LARKANA (Old Larkana))
area/na-205_(larkana-cum-kamber_shahdadkot_(old_larkana-ii)),NA-205 (LARKANA-CUM-KAMBER SHAHDADKOT (OLD LARKANA-II))
area/na-206_(kamber_shahdadkot_(old_larkana-iii)),NA-206 (KAMBER SHAHDADKOT (OLD LARKANA-III))
area/na-207_(larkana-cum-kamber_shahdadkot_(old_larkana-iv)),NA-207 (LARKANA-CUM-KAMBER SHAHDADKOT (OLD LARKANA-IV))
area/na-208_(jacobabad_(old_jacobabad-i)),NA-208 (JACOBABAD (OLD JACOBABAD-I))
area/na-209_(jacobabad-cum-kashmore_(old_jacobabad-ii)),NA-209 (JACOBABAD-CUM-KASHMORE (OLD JACOBABAD-II))
area/na-20_(mansehra-i),NA-20 (Mansehra-I)
area/na-210_(kashmore_(old_jacobabad-iii)),NA-210 (KASHMORE (OLD JACOBABAD-III))
area/na-211_(naushero_feroze-i),NA-211 (Naushero Feroze-I)
area/na-212_(naushero_feroze-ii),NA-212 (Naushero Feroze-II)
area/na-213_(nawabshah-i),NA-213 (Nawabshah-I)
