id,name,start_date,end_date,wikidata
8,VIII kadencja,2015-11-12,,Q22056381
7,VII kadencja,2011-11-08,2015-11-11,Q9334969
6,VI kadencja,2007-11-05,2011-11-07,Q9334970
5,V kadencja,2005-10-19,2007-11-04,Q9334972
4,IV kadencja,2001-10-19,2005-10-18,Q9334961
3,III kadencja,1997-10-20,2001-10-18,Q9334955
2,II kadencja,1993-09-19,1997-10-19,Q9334958
1,I kadencja,1991-11-25,1993-09-18,Q9334962
