id,label,description,type
Q14946265,President of Bulgaria,"",executive
Q4404583,Prime Minister of Bulgaria,"",cabinet
Q15916856,Minister of Foreign Affairs of Bulgaria,foreign minister,cabinet
Q20675830,Bulgarian finance minister,"",cabinet
Q18924508,member of the Bulgarian National Assembly,"",self
Q3108725,Chairperson of the National Assembly of Bulgaria,"",self
Q27169,member of the European Parliament,person who has been elected to the European Parliament,other_legislatures
