id,position,label,description,start_date,term,end_date,election,constituency,replaces,replaced_by
Q47529760,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Western Cape,,
Q47529764,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529765,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529766,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-26,26th South African Parliament,,,,,
Q47529768,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529769,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47529770,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529773,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-07,26th South African Parliament,,,,,
Q47529776,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529777,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Mpumalanga,,
Q47529778,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529783,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529784,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529787,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47529789,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529790,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529793,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-05-20,26th South African Parliament,,"South African general election, 2014",Western Cape,,
Q47529796,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529798,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529799,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2016-11-08,26th South African Parliament,,,,,
Q47529800,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529803,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Western Cape,,
Q47529804,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",North West,,
Q47529805,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529807,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529808,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529809,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529811,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529812,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529813,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Western Cape,,
Q47529815,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529816,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Western Cape,,
Q47529818,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Free State,,
Q47529819,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529820,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Western Cape,,
Q47529824,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529825,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529828,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Free State,,
Q47529830,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529832,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-07-17,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529835,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529836,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529839,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Mpumalanga,,
Q47529841,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529844,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Mpumalanga,,
Q47529847,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529849,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529850,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529853,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529856,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529857,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Free State,,
Q47529859,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529860,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529862,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529865,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529867,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529868,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529870,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529873,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47529876,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529877,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529879,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529880,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529881,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47529885,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529887,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529888,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47529891,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529892,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529895,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Mpumalanga,,
Q47529896,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",North West,,
Q47529899,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529902,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Free State,,
Q47529903,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529905,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",North West,,
Q47529906,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529908,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529910,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529911,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529913,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-10-31,26th South African Parliament,,"South African general election, 2014",Free State,,
Q47529914,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529915,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Western Cape,,
Q47529916,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-05-27,26th South African Parliament,,,,,
Q47529917,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-03-30,26th South African Parliament,,"South African general election, 2014",Northern Cape,,
Q47529919,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Free State,,
Q47529921,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529923,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529924,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",North West,,
Q47529925,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529927,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529928,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529931,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2016-04,26th South African Parliament,,,,,
Q47529933,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529935,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529936,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Western Cape,,
Q47529937,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529939,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",North West,,
Q47529941,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529942,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529943,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529945,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47529947,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529948,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2016-08-24,26th South African Parliament,,"South African general election, 2014",North West,,
Q47529950,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529952,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2016-08-24,26th South African Parliament,,,,,
Q47529954,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2016-08-24,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529955,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2016-09-05,26th South African Parliament,,,,,
Q47529956,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2016-09-05,26th South African Parliament,,,,,
Q47529958,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-11-12,26th South African Parliament,,,,,
Q47529960,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Free State,,
Q47529962,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529964,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529966,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-10-06,26th South African Parliament,,,,,
Q47529967,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529969,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2016-11-08,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529972,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2016-10-14,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529973,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2016-11-08,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529974,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-06-23,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47529978,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2016-11-14,26th South African Parliament,,,,,
Q47529984,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529985,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529988,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529989,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47529996,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Western Cape,,
Q47530002,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47530003,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47530006,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47530007,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47530008,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47530012,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-10-06,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47530017,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47530021,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47530023,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-11-17,26th South African Parliament,,,,,
Q47530024,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47530028,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47530029,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47530039,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47530040,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47530043,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2018-02-18,"South African general election, 2014",KwaZulu-Natal,,
Q47530046,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",North West,,
Q47530047,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47530048,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47530052,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47530053,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47530055,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47530056,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47530057,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-10-06,26th South African Parliament,,,,,
Q47530058,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47530059,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-12-09,26th South African Parliament,,"South African general election, 2014",North West,,
Q47530060,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Western Cape,,
Q47530061,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47530067,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47530068,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47530071,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Limpopo,,
Q47530136,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-08-01,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47530161,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2017-02-24,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47536490,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Mpumalanga,,
Q47536522,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47536761,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-08-23,26th South African Parliament,2017-11-01,,,,
Q47536774,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-04-13,26th South African Parliament,2018-01-01,,,,
Q47536775,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47536776,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2017-09-21,26th South African Parliament,,,,,
Q47536780,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47536782,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47536786,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2017-02-01,26th South African Parliament,2017-10-31,,,,
Q47536789,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-04-13,26th South African Parliament,,,,,
Q47536792,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47536793,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2016-04-04,26th South African Parliament,,,,,
Q47536797,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47536813,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47536847,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2018-01-01,"South African general election, 2014",Gauteng,,
Q47536864,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2016-09-04,26th South African Parliament,2017-05-15,,,,
Q47536916,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47536937,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47536946,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q4763221,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,"",,,,,,
Q4763221,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q4768956,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q4769095,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2016-08-06,"South African general election, 2014",Eastern Cape,,
Q47878458,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-26,26th South African Parliament,2017-08-02,,,,
Q47890496,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2016-10-02,"South African general election, 2014",Eastern Cape,,
Q47890500,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2017-06-15,"South African general election, 2014",KwaZulu-Natal,,
Q47890520,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2017-08-31,,,,
Q47890555,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2015-12-09,"South African general election, 2014",North West,,
Q47890561,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2015-01,"South African general election, 2014",Mpumalanga,,
Q47890578,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2015-09-02,"South African general election, 2014",Free State,,
Q47890588,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2017-10-17,"South African general election, 2014",Northern Cape,,
Q47890596,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2016-08-06,,,,
Q47890603,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2015-11-12,,,,
Q47890613,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2017-03-14,"South African general election, 2014",Gauteng,,
Q47890624,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-05-20,26th South African Parliament,2017-01-01,"South African general election, 2014",Gauteng,,
Q47890639,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2017-01-24,"South African general election, 2014",Mpumalanga,,
Q47890647,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2015-06-18,,,,
Q47890655,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2015-10-31,"South African general election, 2014",Free State,,
Q47890678,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2015-05,"South African general election, 2014",Western Cape,,
Q47890694,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2016-08-23,,,,
Q47890706,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2016-08-23,"South African general election, 2014",Eastern Cape,,
Q47890713,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2017-09-07,,,,
