id,position,label,description,start_date,term,end_date,election,constituency,replaces,replaced_by
Q16746826,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q16746833,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q16747385,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q16747387,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2009,26th South African Parliament,,,,,
Q16765120,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2014-11-12,,,,
Q16765128,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,"",,,,,,
Q16765128,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q16765235,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q16765290,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-07-21,26th South African Parliament,,,,,
Q16765311,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q16765319,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q16765740,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Mpumalanga,,
Q1686353,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q16929552,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q16935120,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Western Cape,,
Q17037520,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2017-07-01,"South African general election, 2014",Gauteng,,
Q17075932,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q17385681,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q17388948,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q17466747,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2014-07,,,,
Q17708781,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q18206724,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,2015-04-13,"South African general election, 2014",Gauteng,,
Q18217607,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q1887900,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
