id,name,start_date,end_date,constituency,constituency_id,party,party_id,term
Q47529662,Strike Michael Ralegoma,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529663,Machwene Rosina Semenya,2014-05-21,"",,,African National Congress,Q83162,26
Q47529665,Sheila Coleen Nkhensani Shope-Sithole,2014-05-21,"",,,African National Congress,Q83162,26
Q47529667,Sello Albert Tleane,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529669,Velhelmina Pulani Mogotsi,2014-05-21,"",Gauteng,Q133083,African National Congress,Q83162,26
Q47529671,Simphiwe Donatus Bekwa,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529673,Mervyn Alexander Dirks,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529675,Mziwamadoda Uppington Kalako,2014-05-21,"",Western Cape,Q127167,African National Congress,Q83162,26
Q47529676,Pinky Sharon Kekana,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529680,Sahlulele Luzipo,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529681,Livhuhani Mabija,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529684,Moloko Stanford Armour Maila,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529686,Thomas Makondo,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529687,Elizabeth Koena Mmanoko Masehela,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529690,Motswaledi Hezekiel Matlala,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529691,Derick Mnguni,2014-05-21,"",Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529693,Nkhensani Kate Bilankulu,2014-05-21,"",Limpopo,Q134907,African National Congress,Q83162,26
Q47529696,Joyce Vuyiswa Basson,2014-05-21,"",Northern Cape,Q132418,African National Congress,Q83162,26
Q47529697,Andrew Frans Madella,2014-05-21,"",Western Cape,Q127167,African National Congress,Q83162,26
Q47529699,Hellen Boikhutso Kekana,2014-05-21,"",North West,Q165956,African National Congress,Q83162,26
Q47529701,Dalton Hlamalani Khosa,2014-05-21,"",Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529703,Sharome Renay Van Schalkwyk,2014-05-21,"",Northern Cape,Q132418,African National Congress,Q83162,26
Q47529704,Mandisa Octovia Matshoba,2014-05-21,"",Western Cape,Q127167,African National Congress,Q83162,26
Q47529707,Johannes Mothibeli Koekoe Mahumapelo,2014-05-21,"",,,Agang South Africa,Q4969082,26
Q47529709,Evelyn Rayne Wilson,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529710,Dennis Richard Ryder,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529712,Patrick George Atkinson,2014-05-21,"",Gauteng,Q133083,Democratic Alliance,Q761877,26
Q47529714,Thomas Zwelakhe Hadebe,2014-05-21,"",KwaZulu-Natal,Q81725,Democratic Alliance,Q761877,26
Q47529716,Mbulelo Richmond Bara,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529718,Vuyokazi Ketabahle,2014-05-21,"",,,Economic Freedom Fighters,Q15613585,26
Q47529720,Cameron Mackenzie,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529722,Luthando Richmond Mbinda,2014-05-21,"",,,Pan Africanist Congress of Azania,Q775460,26
Q47529723,Xolani Ngwezi,2014-05-21,"",,,Inkatha Freedom Party,Q654444,26
Q47529725,Beverley Lynnette Abrahams,2014-05-21,"",,,African National Congress,Q83162,26
Q47529727,Anton De Waal Alberts,2014-05-21,"",Gauteng,Q133083,Freedom Front Plus,Q510163,26
Q47529728,Bongani Thomas Bongo,2014-05-21,"",Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529731,Juliana Danielle Kilian,2014-05-21,"",,,African National Congress,Q83162,26
Q47529732,Alina Mfulo,2014-05-21,"",,,African National Congress,Q83162,26
Q47529733,Imamile Aubin Pikinini,2014-05-21,"",Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529735,Hendrietta Ipeleng Bogopane-Zulu,2014-05-21,"",,,African National Congress,Q83162,26
Q47529736,Mohammed Haniff Hoosen,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529738,Mandlenkosi Sicelo Mabika,2014-05-21,"",KwaZulu-Natal,Q81725,National Freedom Party,Q6972795,26
Q47529740,Michael Bagraim,2014-05-21,"",Western Cape,Q127167,Democratic Alliance,Q761877,26
Q47529741,Ngwanamakwetle Reneiloe Mashabela,2014-05-21,"",Limpopo,Q134907,Economic Freedom Fighters,Q15613585,26
Q47529744,James Jim Skosana,2014-05-21,"",Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529745,Gijimani Jim Skosana,2014-05-21,"",,,African National Congress,Q83162,26
Q47529750,Thilivhali Elphus Mulaudzi,2014-05-21,"",Limpopo,Q134907,Economic Freedom Fighters,Q15613585,26
Q47529752,Buoang Lemias Mashile,2014-05-21,"",,,African National Congress,Q83162,26
Q47529755,Donald Mlindwa Gumede,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529757,Phumuzile Catherine Ngwenya-Mabila,2014-05-21,"",,,African National Congress,Q83162,26
Q47529758,Lungi Annette Mnganga-Gcabashe,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529760,Freddie Adams,2014-05-21,"",Western Cape,Q127167,African National Congress,Q83162,26
Q47529761,Angela Thokozile Didiza,2014-05-21,"",,,African National Congress,Q83162,26
Q47529762,Cedric Thomas Frolick,2014-05-21,"",Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529764,Ndabakayise Erasmus Gcwabaza,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529765,Annette Steyn,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529766,Patricia Emily Adams,2014-05-21,"",,,African National Congress,Q83162,26
