id,wikidata
carlow-kilkenny,Q3913273
cavan-monaghan,Q2701743
clare,Q2570782
cork_east,Q16951667
cork_north_central,Q2357143
cork_north_west,Q3147235
cork_south_central,Q2635304
cork_south_west,Q2746787
donegal,Q5295599
donegal_north_east,Q2566127
donegal_south_west,Q2669879
dublin_bay_north,Q5310820
dublin_bay_south,Q5310820
dublin_central,Q2622823
dublin_fingal,Q20620587
dublin_mid_west,Q2641881
dublin_north,Q5310945
dublin_north_central,Q2913560
dublin_north_east,Q2336579
dublin_north_west,Q2531985
dublin_rathdown,Q5310953
dublin_south,Q4429557
dublin_south_central,Q5310969
dublin_south_east,Q5310970
dublin_south_west,Q5310971
dublin_west,Q5310999
dún_laoghaire,Q5320426
galway_east,Q4568022
galway_west,Q2251639
kerry,Q6394444
kerry_north-west_limerick,Q6394603
kerry_south,Q2408892
kildare_north,Q6406731
kildare_south,Q17088606
laois,Q6487881
laois-offaly,Q6487896
limerick,Q6549238
limerick_city,Q6549243
limerick_county,Q6549251
longford-westmeath,Q6673850
louth,Q6689841
mayo,Q1869725
meath_east,Q1929591
meath_west,Q2040462
offaly,Q7079018
roscommon-galway,Q7367587
roscommon-south_leitrim,Q7367589
sligo-leitrim,Q7540532
sligo-north_leitrim,Q7540535
tipperary,Q7808886
tipperary_north,Q3083080
tipperary_south,Q2739535
waterford,Q2109423
wexford,Q3458611
wicklow,Q2380581
