id,label,description,type
Q2914380,President of Sri Lanka,"",cabinet
Q1758894,Prime Minister of Sri Lanka,"",cabinet
Q16056689,Minister of Defence,in Sri Lanka,cabinet
Q6866137,Minister of Finance of Sri Lanka,"",cabinet
Q4377233,Leader of the Opposition,parliamentary position of Sri Lanka,self
Q18964938,Member of the Parliament of Sri Lanka,"",self
