id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata
b0a3c317-6313-4b21-a99a-430f19b95ae0,Libor Ježek,"Ježek, Libor",,,,Poslanecký klub Občanské demokratické strany,753,,,Chamber of Deputies,4,2006-06-08,,,male,Q12033366
a0b5c611-9243-40c3-ac95-b63599390e4d,Libor Rouček,"Rouček, Libor",,,,Poslanecký klub České strany sociálně demokratické,599,,,Chamber of Deputies,4,2002-06-21,2004-07-20,https://upload.wikimedia.org/wikipedia/commons/c/c3/Libor_Roucek_01.JPG,male,Q961656
a5b67a1e-b6c4-4ca4-bdc1-69c4a06fb468,Lubomír Suk,"Suk, Lubomír",,,,Poslanecký klub Občanské demokratické strany,600,,,Chamber of Deputies,4,2002-06-25,,,male,Q12034106
a5b67a1e-b6c4-4ca4-bdc1-69c4a06fb468,Lubomír Suk,"Suk, Lubomír",,,,Poslanecký klub Občanské demokratické strany,753,,,Chamber of Deputies,4,2006-06-08,,,male,Q12034106
69c2588b-2829-4b7b-959d-1c9d379fb6c8,Lubomír Zaorálek,"Zaorálek, Lubomír",,,,Poslanecký klub České strany sociálně demokratické,48,,,Chamber of Deputies,4,,2002-06-20,https://upload.wikimedia.org/wikipedia/commons/5/56/Lubomír_Zaorálek_2014_(cropped).jpg,male,Q949828
69c2588b-2829-4b7b-959d-1c9d379fb6c8,Lubomír Zaorálek,"Zaorálek, Lubomír",,,,Poslanecký klub České strany sociálně demokratické,599,,,Chamber of Deputies,4,2002-06-21,,https://upload.wikimedia.org/wikipedia/commons/5/56/Lubomír_Zaorálek_2014_(cropped).jpg,male,Q949828
69c2588b-2829-4b7b-959d-1c9d379fb6c8,Lubomír Zaorálek,"Zaorálek, Lubomír",,,,Poslanecký klub České strany sociálně demokratické,750,,,Chamber of Deputies,4,2006-06-05,,https://upload.wikimedia.org/wikipedia/commons/5/56/Lubomír_Zaorálek_2014_(cropped).jpg,male,Q949828
3086516a-17e1-48eb-beb0-39f289f7c24f,Lucie Talmanová,"Talmanová, Lucie",,,,Poslanecký klub Občanské demokratické strany,51,,,Chamber of Deputies,4,,2002-06-20,https://upload.wikimedia.org/wikipedia/commons/b/b8/Lucie_Talmanova.jpg,female,Q3265306
3086516a-17e1-48eb-beb0-39f289f7c24f,Lucie Talmanová,"Talmanová, Lucie",,,,Poslanecký klub Občanské demokratické strany,600,,,Chamber of Deputies,4,2002-06-25,,https://upload.wikimedia.org/wikipedia/commons/b/b8/Lucie_Talmanova.jpg,female,Q3265306
3086516a-17e1-48eb-beb0-39f289f7c24f,Lucie Talmanová,"Talmanová, Lucie",,,,Nezařazení,856,,,Chamber of Deputies,4,2002-10-01,,https://upload.wikimedia.org/wikipedia/commons/b/b8/Lucie_Talmanova.jpg,female,Q3265306
3086516a-17e1-48eb-beb0-39f289f7c24f,Lucie Talmanová,"Talmanová, Lucie",,,,Poslanecký klub Občanské demokratické strany,753,,,Chamber of Deputies,4,2006-06-08,,https://upload.wikimedia.org/wikipedia/commons/b/b8/Lucie_Talmanova.jpg,female,Q3265306
b71cec50-5ff3-4845-8687-dca3df782d27,Ludmila Brynychová,"Brynychová, Ludmila",,,,Poslanecký klub Komunistické strany Čech a Moravy,50,,,Chamber of Deputies,4,,2002-06-20,,female,Q12034190
b71cec50-5ff3-4845-8687-dca3df782d27,Ludmila Brynychová,"Brynychová, Ludmila",,,,Poslanecký klub Komunistické strany Čech a Moravy,596,,,Chamber of Deputies,4,2002-06-19,2005-12-09,,female,Q12034190
4c967ca2-56d6-445d-9201-a4ca7d4bdeec,Ludvík Hovorka,"Hovorka, Ludvík",,,,Poslanecký klub Křesťanské a demokratické unie-Československé strany lidové,597,,,Chamber of Deputies,4,2002-06-19,,https://upload.wikimedia.org/wikipedia/commons/d/dc/Hovorka.jpg,male,Q12034235
b5f80161-9da8-44d1-bcbc-e96339fce4c3,Marek Benda,"Benda, Marek",,,,Poslanecký klub Občanské demokratické strany,51,,,Chamber of Deputies,4,,2002-06-20,https://upload.wikimedia.org/wikipedia/commons/d/d7/Marek_Benda_(3).jpg,male,Q165114
b5f80161-9da8-44d1-bcbc-e96339fce4c3,Marek Benda,"Benda, Marek",,,,Poslanecký klub Občanské demokratické strany,600,,,Chamber of Deputies,4,2004-07-20,,https://upload.wikimedia.org/wikipedia/commons/d/d7/Marek_Benda_(3).jpg,male,Q165114
b5f80161-9da8-44d1-bcbc-e96339fce4c3,Marek Benda,"Benda, Marek",,,,Poslanecký klub Občanské demokratické strany,753,,,Chamber of Deputies,4,2006-06-08,,https://upload.wikimedia.org/wikipedia/commons/d/d7/Marek_Benda_(3).jpg,male,Q165114
83fd361b-3c6b-4e28-b8cb-1efd78036c14,Marian Bielesz,"Bielesz, Marian",,,,Poslanecký klub Unie svobody-Demokratické unie,598,,,Chamber of Deputies,4,2002-06-18,2004-07-08,,male,Q2368549
05a658af-1ac4-4d81-b2cc-da54e70a169c,Marie Rusová,"Rusová, Marie",,,,Poslanecký klub Komunistické strany Čech a Moravy,596,,,Chamber of Deputies,4,2002-06-19,,,female,Q12035455
e2bd4e7d-20bc-485b-95e7-8377600090b2,Marta Bayerová,"Bayerová, Marta",,,,Poslanecký klub Komunistické strany Čech a Moravy,596,,,Chamber of Deputies,4,2002-06-19,,,female,Q12035653
e2bd4e7d-20bc-485b-95e7-8377600090b2,Marta Bayerová,"Bayerová, Marta",,,,Poslanecký klub Komunistické strany Čech a Moravy,752,,,Chamber of Deputies,4,2006-06-08,,,female,Q12035653
4744768c-f01f-44ac-935a-6c692d5e6460,Martin Kocourek,"Kocourek, Martin",,,,Poslanecký klub Občanské demokratické strany,51,,,Chamber of Deputies,4,,2002-06-20,https://upload.wikimedia.org/wikipedia/commons/b/bf/Martin_Kocourek_cropped.jpg,male,Q3295489
4744768c-f01f-44ac-935a-6c692d5e6460,Martin Kocourek,"Kocourek, Martin",,,,Poslanecký klub Občanské demokratické strany,600,,,Chamber of Deputies,4,2002-06-25,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Martin_Kocourek_cropped.jpg,male,Q3295489
1efedd11-e7bf-4d00-844e-e15969c82bbe,Martin Říman,"Říman, Martin",,,,Poslanecký klub Občanské demokratické strany,600,,,Chamber of Deputies,4,2002-06-25,,https://upload.wikimedia.org/wikipedia/commons/0/03/Martin_Riman.jpg,male,Q159668
1efedd11-e7bf-4d00-844e-e15969c82bbe,Martin Říman,"Říman, Martin",,,,Poslanecký klub Občanské demokratické strany,753,,,Chamber of Deputies,4,2006-06-08,,https://upload.wikimedia.org/wikipedia/commons/0/03/Martin_Riman.jpg,male,Q159668
2c5454bc-b00f-4127-9fb0-81ee7d59a03b,Michaela Šojdrová,"Šojdrová, Michaela",,,,Poslanecký klub Křesťanské a demokratické unie - Československé strany lidové,49,,,Chamber of Deputies,4,,2002-06-20,https://upload.wikimedia.org/wikipedia/commons/9/9b/Michaela_Sojdrova_2010.JPG,female,Q12036669
2c5454bc-b00f-4127-9fb0-81ee7d59a03b,Michaela Šojdrová,"Šojdrová, Michaela",,,,Poslanecký klub Křesťanské a demokratické unie-Československé strany lidové,597,,,Chamber of Deputies,4,2002-06-19,,https://upload.wikimedia.org/wikipedia/commons/9/9b/Michaela_Sojdrova_2010.JPG,female,Q12036669
6a008577-6bdd-4cf8-90dd-041be107fbdd,Michal Doktor,"Doktor, Michal",,,,Poslanecký klub Občanské demokratické strany,51,,,Chamber of Deputies,4,,2002-06-20,,male,Q12036696
6a008577-6bdd-4cf8-90dd-041be107fbdd,Michal Doktor,"Doktor, Michal",,,,Poslanecký klub Občanské demokratické strany,600,,,Chamber of Deputies,4,2002-06-25,,,male,Q12036696
6a008577-6bdd-4cf8-90dd-041be107fbdd,Michal Doktor,"Doktor, Michal",,,,Poslanecký klub Občanské demokratické strany,753,,,Chamber of Deputies,4,2006-06-08,,,male,Q12036696
e3a2c256-c1d3-41cd-b2da-b7225c94011f,Michal Hašek,"Hašek, Michal",,,michal.hasek.7,Poslanecký klub České strany sociálně demokratické,599,,,Chamber of Deputies,4,2002-06-21,,https://upload.wikimedia.org/wikipedia/commons/8/8a/Michal_hasek_2014.jpg,male,Q6835752
e3a2c256-c1d3-41cd-b2da-b7225c94011f,Michal Hašek,"Hašek, Michal",,,michal.hasek.7,Poslanecký klub České strany sociálně demokratické,750,,,Chamber of Deputies,4,2006-06-05,,https://upload.wikimedia.org/wikipedia/commons/8/8a/Michal_hasek_2014.jpg,male,Q6835752
31b2fe02-70e2-445c-b767-5bce3d32586c,Michal Kraus,"Kraus, Michal",,,,Poslanecký klub České strany sociálně demokratické,48,,,Chamber of Deputies,4,,2002-06-20,https://upload.wikimedia.org/wikipedia/commons/b/be/Michal_Kraus.jpg,male,Q12036749
31b2fe02-70e2-445c-b767-5bce3d32586c,Michal Kraus,"Kraus, Michal",,,,Poslanecký klub České strany sociálně demokratické,599,,,Chamber of Deputies,4,2002-06-21,2006-01-24,https://upload.wikimedia.org/wikipedia/commons/b/be/Michal_Kraus.jpg,male,Q12036749
550cbac7-c320-4fe3-86d0-e21bd02635de,Milada Emmerová,"Emmerová, Milada",,,,Poslanecký klub České strany sociálně demokratické,48,,,Chamber of Deputies,4,,2002-06-20,https://upload.wikimedia.org/wikipedia/commons/a/ac/Milada_Emmerova.JPG,female,Q6850388
550cbac7-c320-4fe3-86d0-e21bd02635de,Milada Emmerová,"Emmerová, Milada",,,,Poslanecký klub České strany sociálně demokratické,599,,,Chamber of Deputies,4,2002-06-21,2004-09-24,https://upload.wikimedia.org/wikipedia/commons/a/ac/Milada_Emmerova.JPG,female,Q6850388
f4e5c624-0914-41be-8fb1-083cd01f1176,Milan Bičík,"Bičík, Milan",,,,Poslanecký klub Komunistické strany Čech a Moravy,596,,,Chamber of Deputies,4,2002-06-19,,,male,Q12037166
f4e5c624-0914-41be-8fb1-083cd01f1176,Milan Bičík,"Bičík, Milan",,,,Poslanecký klub Komunistické strany Čech a Moravy,752,,,Chamber of Deputies,4,2006-06-08,,,male,Q12037166
1a2f3b8b-3189-41cf-b8c7-734030b6dd98,Milan Cabrnoch,"Cabrnoch, Milan",,,,Poslanecký klub Občanské demokratické strany,51,,,Chamber of Deputies,4,,2002-06-20,https://upload.wikimedia.org/wikipedia/commons/e/ea/Milan_Cabrnoch_01.JPG,male,Q3490182
1a2f3b8b-3189-41cf-b8c7-734030b6dd98,Milan Cabrnoch,"Cabrnoch, Milan",,,,Poslanecký klub Občanské demokratické strany,600,,,Chamber of Deputies,4,2002-06-25,2004-07-20,https://upload.wikimedia.org/wikipedia/commons/e/ea/Milan_Cabrnoch_01.JPG,male,Q3490182
1a2f3b8b-3189-41cf-b8c7-734030b6dd98,Milan Cabrnoch,"Cabrnoch, Milan",,,,Poslanecký klub České strany sociálně demokratické,863,,,Chamber of Deputies,4,2002-10-01,2004-06-22,https://upload.wikimedia.org/wikipedia/commons/e/ea/Milan_Cabrnoch_01.JPG,male,Q3490182
298e4f34-ecb3-4d81-a2af-301ffffa7f60,Milan Ekert,"Ekert, Milan",,,,Poslanecký klub České strany sociálně demokratické,48,,,Chamber of Deputies,4,,2002-06-20,,male,Q12037185
298e4f34-ecb3-4d81-a2af-301ffffa7f60,Milan Ekert,"Ekert, Milan",,,,Poslanecký klub České strany sociálně demokratické,599,,,Chamber of Deputies,4,2002-06-21,,,male,Q12037185
e294f11c-08a9-474f-a403-d7f91c154574,Milan Urban,"Urban, Milan",,,,Poslanecký klub České strany sociálně demokratické,48,,,Chamber of Deputies,4,,2002-06-20,https://upload.wikimedia.org/wikipedia/commons/e/ea/Milan_Urban_2009.JPG,male,Q12037321
e294f11c-08a9-474f-a403-d7f91c154574,Milan Urban,"Urban, Milan",,,,Poslanecký klub České strany sociálně demokratické,599,,,Chamber of Deputies,4,2002-06-21,2004-09-24,https://upload.wikimedia.org/wikipedia/commons/e/ea/Milan_Urban_2009.JPG,male,Q12037321
e294f11c-08a9-474f-a403-d7f91c154574,Milan Urban,"Urban, Milan",,,,Poslanecký klub České strany sociálně demokratické,750,,,Chamber of Deputies,4,2006-06-05,,https://upload.wikimedia.org/wikipedia/commons/e/ea/Milan_Urban_2009.JPG,male,Q12037321
df3a0d0e-113c-4b1d-956d-a2490bc0549d,Miloslav Kala,"Kala, Miloslav",,,,Poslanecký klub České strany sociálně demokratické,599,,,Chamber of Deputies,4,2002-06-21,,,male,Q12037454
df3a0d0e-113c-4b1d-956d-a2490bc0549d,Miloslav Kala,"Kala, Miloslav",,,,Poslanecký klub České strany sociálně demokratické,750,,,Chamber of Deputies,4,2006-06-05,,,male,Q12037454
7e77b899-609d-43d9-bbc1-d2bb5ef76b97,Miloslav Kučera,"Kučera, Miloslav",,,,Poslanecký klub Občanské demokratické strany,600,,,Chamber of Deputies,4,2002-06-25,,,male,Q12037465
7a62ecf7-6de7-425f-b601-24432f6da36b,Miloslav Ransdorf,"Ransdorf, Miloslav",,,,Poslanecký klub Komunistické strany Čech a Moravy,50,,,Chamber of Deputies,4,,2002-06-20,"https://upload.wikimedia.org/wikipedia/commons/8/8b/Miroslav_Ransdorf_(2),_EP_election_campaign,_Brno.jpg",male,Q1313476
7a62ecf7-6de7-425f-b601-24432f6da36b,Miloslav Ransdorf,"Ransdorf, Miloslav",,,,Poslanecký klub Komunistické strany Čech a Moravy,596,,,Chamber of Deputies,4,2002-06-19,2004-07-20,"https://upload.wikimedia.org/wikipedia/commons/8/8b/Miroslav_Ransdorf_(2),_EP_election_campaign,_Brno.jpg",male,Q1313476
682ed2c5-ec6d-41ba-8eeb-d892a1b3fd99,Miloslav Vlček,"Vlček, Miloslav",,,,Poslanecký klub České strany sociálně demokratické,48,,,Chamber of Deputies,4,,2002-06-20,https://upload.wikimedia.org/wikipedia/commons/8/83/Miloslav_Vlcek.jpg,male,Q3100430
682ed2c5-ec6d-41ba-8eeb-d892a1b3fd99,Miloslav Vlček,"Vlček, Miloslav",,,,Poslanecký klub České strany sociálně demokratické,599,,,Chamber of Deputies,4,2002-06-21,,https://upload.wikimedia.org/wikipedia/commons/8/83/Miloslav_Vlcek.jpg,male,Q3100430
682ed2c5-ec6d-41ba-8eeb-d892a1b3fd99,Miloslav Vlček,"Vlček, Miloslav",,,,Poslanecký klub České strany sociálně demokratické,750,,,Chamber of Deputies,4,2006-06-05,,https://upload.wikimedia.org/wikipedia/commons/8/83/Miloslav_Vlcek.jpg,male,Q3100430
2a7f87da-e2c9-4113-a2ff-931cba299645,Miloslav Výborný,"Výborný, Miloslav",,,,Poslanecký klub Křesťanské a demokratické unie - Československé strany lidové,49,,,Chamber of Deputies,4,,2002-06-20,,male,Q12037503
2a7f87da-e2c9-4113-a2ff-931cba299645,Miloslav Výborný,"Výborný, Miloslav",,,,Poslanecký klub Křesťanské a demokratické unie-Československé strany lidové,597,,,Chamber of Deputies,4,2002-06-19,2003-06-02,,male,Q12037503
d78d2574-2df6-4e48-bde2-9cca9db61571,Miloslava Vostrá,"Vostrá, Miloslava",,,,Poslanecký klub Komunistické strany Čech a Moravy,596,,,Chamber of Deputies,4,2002-06-19,,,female,Q12037516
d78d2574-2df6-4e48-bde2-9cca9db61571,Miloslava Vostrá,"Vostrá, Miloslava",,,,Poslanecký klub Komunistické strany Čech a Moravy,752,,,Chamber of Deputies,4,2006-06-08,,,female,Q12037516
