id,name,sort_name,given_name,family_name,name__ar,party,party_id,party__ar,constituency,province,start_date,end_date,gender,name__en,term
275,Mohamed Bouhdoud,Bouhdoud Mohamed,Mohamed,Bouhdoud,محمد بوهدود,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,TAROUDANNT AL JANOUBIA,TAROUDANNT,2016-10-07,,,Mohamed Bouhdoud,10
276,Hamid Elbehja,Elbehja Hamid,Hamid,Elbehja,حميد البهجة,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,TAROUDANNT CHAMALIA,TAROUDANNT,2016-10-07,,,Hamid Elbehja,10
277,Mustapha Tadoumant,Tadoumant Mustapha,Mustapha,Tadoumant,مصطفى تضمانت,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,TATA,TATA,2016-10-07,,,Mustapha Tadoumant,10
278,Abdellah Ghazi,Ghazi Abdellah,Abdellah,Ghazi,عبدالله الغازي,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,TIZNIT,TIZNIT,2016-10-07,,,Abdellah Ghazi,10
279,Badr Tahiri,Tahiri Badr,Badr,Tahiri,بدر طاهري,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,MEKNES,MEKNES,2016-10-07,,,Badr Tahiri,10
28,Mohamed Elharti,Elharti Mohamed,Mohamed,Elharti,محمد الحارثي,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,FES AL JANOUBIA,FES,2016-10-07,,,Mohamed Elharti,10
280,Mohamed Abbou,Abbou Mohamed,Mohamed,Abbou,محمد عبو,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,TAOUNATE - TISSA,TAOUNATE,2016-10-07,,,Mohamed Abbou,10
281,Rachid Elfayeq,Elfayeq Rachid,Rachid,Elfayeq,رشيد الفايق,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,FES ALJANOUBIA,FES,2016-10-07,,,Rachid Elfayeq,10
282,Taoufik Kamil,Kamil Taoufik,Taoufik,Kamil,توفيق كميل,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,BEN M'SICK,BEN M'SICK,2016-10-07,,,Taoufik Kamil,10
283,Hassan Benomar,Benomar Hassan,Hassan,Benomar,حسن بنعمر,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,AIN SEBAA - HAY MOHAMMADI,AIN SEBAA - HAY MOHAMMADI,2016-10-07,,,Hassan Benomar,10
284,Mustapha Mansouri,Mansouri Mustapha,Mustapha,Mansouri,المصطفى المنصوري,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,NADOR,NADOR,2016-10-07,,,Mustapha Mansouri,10
285,Abdellah Boukili,Boukili Abdellah,Abdellah,Boukili,عبدالله البوكيلي,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,DRIOUCH,DRIOUCH,2016-10-07,,,Abdellah Boukili,10
286,Mbarka Bouaida,Bouaida Mbarka,Mbarka,Bouaida,مباركة بوعيدة,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,GUELMIM,GUELMIM,2016-10-07,,,Mbarka Bouaida,10
287,Abdelkader Kendil,Kendil Abdelkader,Abdelkader,Kendil,عبدالقادر قنديل,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,SIDI BENNOUR,SIDI BENNOUR,2016-10-07,,,Abdelkader Kendil,10
288,Saber Elkayyaf,Elkayyaf Saber,Saber,Elkayyaf,صابر الكياف,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,BERRECHID,BERRECHID,2016-10-07,,,Saber Elkayyaf,10
289,Hassan Oukacha,Oukacha Hassan,Hassan,Oukacha,حسن عكاشة,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,BENSLIMANE,BENSLIMANE,2016-10-07,,,Hassan Oukacha,10
29,Abdellah Bouanou,Bouanou Abdellah,Abdellah,Bouanou,عبد الله بوانو,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,MEKNES,MEKNES,2016-10-07,,,Abdellah Bouanou,10
290,Noureddine Lazrek,Lazrek Noureddine,Noureddine,Lazrek,نورالدين الأزرق,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,SALE - MEDINA,SALE,2016-10-07,,,Noureddine Lazrek,10
291,Bouselham Eddich,Eddich Bouselham,Bouselham,Eddich,بوسلهام الديش,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,KENITRA,KENITRA,2016-10-07,,,Bouselham Eddich,10
292,Jaouad Gharib,Gharib Jaouad,Jaouad,Gharib,جواد غريب,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,El GHARB,KENITRA,2016-10-07,,,Jaouad Gharib,10
293,Hassan Filali,Filali Hassan,Hassan,Filali,حسن الفيلالي,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,TIFELT - ROMMANI,KHEMISSET,2016-10-07,,,Hassan Filali,10
294,Rachid Talbi Alami,Talbi Alami Rachid,Rachid,Talbi Alami,رشيد الطالبي العلمي,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,TETOUAN,TETOUAN,2016-10-07,,,Rachid Talbi Alami,10
295,Hamid Elaarchi,Elaarchi Hamid,Hamid,Elaarchi,حميد العرشي,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,KHOURIBGA,KHOURIBGA,2016-10-07,,,Hamid Elaarchi,10
296,Mustapha Reddad,Reddad Mustapha,Mustapha,Reddad,مصطفى الرداد,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,BZOU - OUAOUIZEGHT,AZILAL,2016-10-07,,,Mustapha Reddad,10
297,Idar Anjar,Anjar Idar,Idar,Anjar,ايدار أنجار,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,AL HAOUZ,AL HAOUZ,2016-10-07,,,Idar Anjar,10
298,Mustapha El Omari,El Omari Mustapha,Mustapha,El Omari,مصطفى العمري,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,ERRACHIDIA,ERRACHIDIA,2016-10-07,,,Mustapha El Omari,10
299,Hmad Ait Baha,Ait Baha Hmad,Hmad,Ait Baha,حماد أيت باها,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,ZAGORA,ZAGORA,2016-10-07,,,Hmad Ait Baha,10
3,Rachid Kabil,Kabil Rachid,Rachid,Kabil,رشيد القبيل,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,AIN CHOK,AIN CHOK,2016-10-07,,,Rachid Kabil,10
30,Driss Skalli Adoui,Skalli Adoui Driss,Driss,Skalli Adoui,ادريس صقلي عدوي,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,MEKNES,MEKNES,2016-10-07,,,Driss Skalli Adoui,10
300,Said Chbaatou,Chbaatou Said,Said,Chbaatou,سعيد اشباعتو,Rassemblement National des Indépendants,RNI,حزب التجمع الوطني للأحرار,MIDELT,MIDELT,2016-10-07,,,Said Chbaatou,10
