id,name,start_date,end_date,constituency,party,term
Q28910910,‘Akosita Lavulavu,2016-07-14,"",Vavaʻu 16,unknown,2015
Q8084044,‘Etuate Lavulavu,"",2016-01-29,Vavaʻu 16,unknown,2015
