id,position,label,description,start_date,end_date,constituency,term,election,replaces,replaced_by
Q4757753,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,"",,,6th Legislative Council of Hong Kong,,,
Q4757753,Q3068969,President of the Legislative Council of Hong Kong,"",2016-10-12,,,,,Jasper Tsang,
Q4757753,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,13th National Committee of the Chinese People's Political Consultative Conference,,,
Q5070323,Q13416334,member of the Provisional Legislative Council,"","",,,,,,
Q5070323,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2000-09-30,Election Committee,,,,
Q5070323,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2000-10-01,2016-09-30,Kowloon East,,,,
Q5070323,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,12th National Committee of the Chinese People's Political Consultative Conference,,,
Q5070393,Q13416334,member of the Provisional Legislative Council,"",1996-12-21,1998-09-30,,,,,
Q5070393,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2008-09-30,Kowloon East,,,,
Q5070393,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,2016-09-30,District Council (Second),,,,
Q5070393,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,12th National Committee of the Chinese People's Political Consultative Conference,,,
Q50835,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2008-10-01,,Hong Kong Island,,,,
Q50835,Q5280547,Director of Immigration,position of the Hong Kong Government,1997-07-01,1998-07-31,,,,"",Ambrose Lee
Q50835,Q5541355,Secretary for Security,position of the Hong Kong Government,1998-08-01,2003-07-16,,,,Peter Lai,Ambrose Lee
Q50835,Q5541355,Secretary for Security,position of the Hong Kong Government,1998-08-31,2003-07-25,,,,Peter Lai,Ambrose Lee
Q5112099,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,12th National Committee of the Chinese People's Political Consultative Conference,,,
Q5112105,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,2016-09-30,Hong Kong Island,,,,
Q5129223,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,,Kowloon West,,,,
Q5363394,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,,New Territories East,,,,
Q5524836,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2008-10-01,,New Territories East,,,,
Q5541244,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,13th National Committee of the Chinese People's Political Consultative Conference,,,
Q6144316,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2012-09-30,Kowloon West,,,,
Q6144316,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,,District Council (Second),,,,
Q6144316,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2016-10-01,,District Council (Second),6th Legislative Council of Hong Kong,"Hong Kong Legislative Council election, 2016",,
Q6144316,Q53914332,Yau Tsim Mong District councilor,"",2016-01-01,,"District Councils Constituency in Olympic, Yau Tsim Mong District",5th Councilor in Yau Tsim Mong District,"Hong Kong District Council election, 2015",,
Q6176119,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,13th National Committee of the Chinese People's Political Consultative Conference,,,
Q6389965,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,2016-09-30,Hong Kong Island,,"Hong Kong Legislative Council election, 2012",,
Q6465949,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2008-09-30,Information Technology,,,,
Q6465949,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,2016-09-30,Hong Kong Island,,,,
Q6497659,Q13416334,member of the Provisional Legislative Council,"","",,,,,,
Q6497659,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,,,,,,
Q6497659,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,11th National Committee of the Chinese People's Political Consultative Conference,,,
Q6534559,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,13th National Committee of the Chinese People's Political Consultative Conference,,,
Q6534595,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2016-09-30,New Territories West,,,,
Q6534595,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2016-10-01,,District Council (Second),,,,
Q6588095,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2008-10-01,2010-01-28,Hong Kong Island,,,,
Q6588095,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2010-05-17,2012-09-30,Hong Kong Island,,,,
Q6588095,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2016-10-01,,Hong Kong Island,6th Legislative Council of Hong Kong,"Hong Kong Legislative Council election, 2016",,
Q6720732,Q10891456,member of the National People's Congress,"","",,Hong Kong,13th National People's Congress,,,
Q6720732,Q13416334,member of the Provisional Legislative Council,"","",,,,,,
