id,name,sort_name,birth_date,contact_form,constituency,party,party_id,image,term,source
242,Tilen Božič,Božič Tilen,1982-09-18,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P242,II Izola 3,Party of Modern Centre,SMC,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P242,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P242
265,Mag. Lilijana Kozlovič,Kozlovič Lilijana,1962-10-30,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/pisitePoslancu?idOseba=P265,II Koper II 5,Party of Modern Centre,SMC,http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P265,7,http://www.dz-rs.si/wps/portal/en/Home/ODrzavnemZboru/KdoJeKdo/PoslankeInPoslanci/poslanec?idOseba=P265
