id,label,description,type
Q466956,President of Chile,position,
Q24262884,Minister of Foreign Affairs of Chile,foreign affairs minister of Chile,executive
Q18882653,member of the Senate of Chile,"",other_legislatures
Q18067639,member of the Chamber of Deputies of Chile,"",self
