id,name,start_date,end_date,wikidata
chamber_2001-11-17,Periudha e parë Legjislative,2001-11-17,2004-11-23,Q29205176
chamber_2004-11-23,Periudha e dytë Legjislative,2004-11-23,2007-12-12,Q29205176
chamber_2007-12-13,Periudha e tretë Legjislative,2007-12-13,2010-11-03,Q29205176
chamber_2010-12-12,Periudha e katërt Legjislative,2010-12-12,2014-05-07,Q29205176
chamber_2014-07-17,Periudha e pestë Legjislative,2014-07-17,,Q29205166
