id,name,start_date,end_date
1995,Alþingi 1995,1995,1999-03-25
1999,Alþingi 1999,1999-06-08,2003-03-15
2003,Alþingi 2003,2003-05-26,2007-03-17
2007,Alþingi 2007,2007-06-13,2009-04-17
2009,Alþingi 2009,2009-05-15,2013-03-27
2013,Alþingi 2013,2013-06-06,2016-10-13
2016,Alþingi 2016,2016-12-06,
