name,gender,faction,image,area,term,source,id,name__jp,name__jp_hiragana,faction__jp,area__jp,name__ja,name__ja_hira
ASO Taro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/021.jpg/%24File/021.jpg,Fukuoka 8th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/021.html,,,,自民,福岡8,麻生 太郎君,あそう たろう
AZUMI Jun,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/005.jpg/%24File/005.jpg,Miyagi 5th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/005.html,,,,民進,宮城5,安住 淳君,あずみ じゅん
BABA Nobuyuki,male,JIP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/340.jpg/%24File/340.jpg,Osaka 17th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/340.html,,,,維新,大阪17,馬場 伸幸君,ばば のぶゆき
BANNO Yutaka,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/356.jpg/%24File/356.jpg,Tokai Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/356.html,,,,民進,（比）東海,伴野 豊君,ばんの ゆたか
DOI Toru,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/294.jpg/%24File/294.jpg,Miyagi 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/294.html,,,,自民,宮城1,土井 亨君,どい とおる
EDA Kenji,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/071.jpg/%24File/071.jpg,Kanagawa 8th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/071.html,,,,民進,神奈川8,江田 憲司君,えだ けんじ
EDA Yasuyuki,male,KM,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/072.jpg/%24File/072.jpg,Kyushu Bloc,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/072.html,,,,公明,（比）九州,江田 康幸君,えだ やすゆき
EDANO Yukio,male,DP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/076.jpg/%24File/076.jpg,Saitama 5th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/076.html,,,,民進,埼玉5,枝野 幸男君,えだの ゆきお
ENDO Takashi,male,JIP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/077.jpg/%24File/077.jpg,Osaka 18th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/077.html,,,,維新,大阪18,遠藤 敬君,えんどう たかし
ENDO Toshiaki,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/078.jpg/%24File/078.jpg,Yamagata 1st District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/078.html,,,,自民,山形1,遠藤 利明君,えんどう としあき
ESAKI Tetsuma,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/070.jpg/%24File/070.jpg,Aichi 10th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/070.html,,,,自民,愛知10,江崎 鐵磨君,えさき てつま
ETO Akinori,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/073.jpg/%24File/073.jpg,Aomori 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/073.html,,,,自民,青森2,江渡 聡徳君,えと あきのり
ETO Seishiro,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/075.jpg/%24File/075.jpg,Oita 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/075.html,,,,自民,大分2,衛藤 征士郎君,えとう せいしろう
ETO Taku,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/074.jpg/%24File/074.jpg,Miyazaki 2nd District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/074.html,,,,自民,宮崎2,江藤 拓君,えとう たく
FUJII Hisayuki,male,LDP,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/370.jpg/%24File/370.jpg,Hyogo 4th District,46,http://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/370.html,,,,自民,兵庫4,藤井 比早之君,ふじい ひさゆき
