id,name,position,start_date,end_date,type
f5978e43-2a5b-4eef-a577-7fc01528ea36,Carcasses K. Moana,Prime Minister of Vanuatu,,,executive
03572aca-8ec9-4fd9-aee8-a0015dc7000f,Meltek Sato Kilman Livtunvanu,Prime Minister of Vanuatu,,,executive
9d0d05d6-8c65-4b30-892a-c39e004792ec,Vohor Serge Rialuth,Prime Minister of Vanuatu,,,executive
