id,name,start_date,end_date,wikidata
3,3rd Curaçaoan Parliament,2016-11-02,,Q28479622
2,2nd Curaçaoan Parliament,2012-11-02,2016-11-01,Q28479621
1,1st Curaçaoan Parliament,2010-10-10,2012-11-01,Q28479620
